序号,审批状态,主键ID,主键ID版本号,启禁状态,技术标准版本号,关联物料,物料品类,物料大类,物料归属,适用生产基地代码,适用生产基地名称,检测项目代码,检测项目,是否判定,检测时间,抽样检测方式,取样部门,检测部门,定量定性,初检复检,检测单元数量,检测次数,检测单元单位,检测频率,取样数量,取样单位,是否扣减库存,库存扣减数量,库存扣减单位,检测工具,标准要求,异常标准项,检测指标单位,下限,上限,小数精确位数,异常处理最低不合格量,异常结果显示,检测方法,超标处理方案,备注,有效期起,有效期止
11,,HWBT0021,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,香气,是,使用前检测,,生产部,品管部,定性,初检,1,等于,批次,,100,毫升,否,,,嗅觉,与标准品对比无差异,,,,,,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml。用闻香纸分别蘸取容器内待检试样与标准样品1cm~2cm，然后用嗅觉进行评香。要求试样同标准样品对比一致，应具有复合香精特有的香气，无异杂气。,若不合格，从同批次及相邻批次各抽取2桶，从中各取50ml复检。,,2025-01-01,9999-12-31
12,,HWBT0022,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YF00000004,香气,是,使用前检测,,生产部,品管部,定性,复检,2,大于等于,批次,,200,毫升,否,,,嗅觉,与标准品对比无差异,,,,,,1,退货处理,从同批次及相邻批次各抽取2桶，从中各取50ml复检。用闻香纸分别蘸取容器内待检试样与标准样品1cm~2cm，然后用嗅觉进行评香。要求试样同标准样品对比一致，应具有复合香精特有的香气，无异杂气。,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,,2025-01-01,9999-12-31
13,,HWBT0023,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,相对密度,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,温度计、密度计,内容物温度需达到20℃,,g/cm³,0.9150,0.9350,4,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中10ml做本次检测。使用密度计进行检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取10ml复检。,,2025-01-01,9999-12-31
14,,HWBT0024,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,相对密度,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,温度计、密度计,内容物温度需达到20℃,,g/cm³,0.9180,0.9380,4,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中10ml做本次检测。使用密度计进行检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取10ml复检。,,2025-01-01,9999-12-31
15,,HWBT0025,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,相对密度,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,温度计、密度计,内容物温度需达到20℃,,g/cm³,0.9108,0.9308,4,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中10ml做本次检测。使用密度计进行检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取10ml复检。,,2025-01-01,9999-12-31
16,,HWBT0026,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,相对密度,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,温度计、密度计,内容物温度需达到20℃,,g/cm³,0.9158,0.9358,4,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中10ml做本次检测。使用密度计进行检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取10ml复检。,,2025-01-01,9999-12-31
17,,HWBT0027,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,相对密度,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,温度计、密度计,内容物温度需达到20℃,,g/cm³,0.9180,0.9380,4,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中10ml做本次检测。使用密度计进行检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取10ml复检。,,2025-01-01,9999-12-31
18,,HWBT0028,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YF00000004,相对密度,是,使用前检测,,生产部,品管部,定量,复检,2,大于等于,批次,,40,毫升,否,,,温度计、密度计,内容物温度需达到20℃,,g/cm³,0.9150,0.9350,4,1,退货处理,从同批次及相邻批次各抽取2桶，从中各取10ml复检。使用密度计进行检测。,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,,2025-01-01,9999-12-31
19,,HWBT0029,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YF00000004,相对密度,是,使用前检测,,生产部,品管部,定量,复检,2,大于等于,批次,,40,毫升,否,,,温度计、密度计,内容物温度需达到20℃,,g/cm³,0.9180,0.9380,4,1,退货处理,从同批次及相邻批次各抽取2桶，从中各取10ml复检。使用密度计进行检测。,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,,2025-01-01,9999-12-31
20,,HWBT0030,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YF00000004,相对密度,是,使用前检测,,生产部,品管部,定量,复检,2,大于等于,批次,,40,毫升,否,,,温度计、密度计,内容物温度需达到20℃,,g/cm³,0.9108,0.9308,4,1,退货处理,从同批次及相邻批次各抽取2桶，从中各取10ml复检。使用密度计进行检测。,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,,2025-01-01,9999-12-31
21,,HWBT0031,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YF00000004,相对密度,是,使用前检测,,生产部,品管部,定量,复检,2,大于等于,批次,,40,毫升,否,,,温度计、密度计,内容物温度需达到20℃,,g/cm³,0.9158,0.9358,4,1,退货处理,从同批次及相邻批次各抽取2桶，从中各取10ml复检。使用密度计进行检测。,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,,2025-01-01,9999-12-31
22,,HWBT0032,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YF00000004,相对密度,是,使用前检测,,生产部,品管部,定量,复检,2,大于等于,批次,,40,毫升,否,,,温度计、密度计,内容物温度需达到20℃,,g/cm³,0.9180,0.9380,4,1,退货处理,从同批次及相邻批次各抽取2桶，从中各取10ml复检。使用密度计进行检测。,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,,2025-01-01,9999-12-31
23,,HWBT0033,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,可溶性固形物,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,温度计、糖度计,内容物温度需达到20℃,,%,41.1000,42.9000,2,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中5ml做本次检测。使用密度计进行检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取5ml复检。,,2025-01-01,9999-12-31
24,,HWBT0034,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,可溶性固形物,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,温度计、糖度计,内容物温度需达到20℃,,%,41.7000,43.7000,2,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中5ml做本次检测。使用密度计进行检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取5ml复检。,,2025-01-01,9999-12-31
25,,HWBT0035,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,可溶性固形物,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,温度计、糖度计,内容物温度需达到20℃,,%,39.1000,41.1000,2,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中5ml做本次检测。使用密度计进行检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取5ml复检。,,2025-01-01,9999-12-31
26,,HWBT0036,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,可溶性固形物,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,温度计、糖度计,内容物温度需达到20℃,,%,41.1000,42.9000,2,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中5ml做本次检测。使用密度计进行检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取5ml复检。,,2025-01-01,9999-12-31
27,,HWBT0037,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,可溶性固形物,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,温度计、糖度计,内容物温度需达到20℃,,%,41.1000,43.7000,2,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中5ml做本次检测。使用密度计进行检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取5ml复检。,,2025-01-01,9999-12-31
28,,HWBT0038,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YF00000004,可溶性固形物,是,使用前检测,,生产部,品管部,定量,复检,2,大于等于,批次,,20,毫升,否,,,温度计、糖度计,内容物温度需达到20℃,,%,41.1000,42.9000,2,1,退货处理,从同批次及相邻批次各抽取2桶，从中各取5ml复检。使用密度计进行检测。,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,,2025-01-01,9999-12-31
