序号,商品名称,商品编码,是否礼盒装,单位重量吨/箱(组、包),有效期起,有效期至,单位货值元/箱(组、包),有效期起,有效期至,纸箱价格元/张,有效期起,有效期至
64,战马/330ML/24/罐装/含气/春日白桃味/常规装,11000352,否,,,,,,,,,
65,战马/330ML/24/罐装/含气/夏日浆果味/常规装,11000351,否,,,,,,,,,
66,战马/330ML/24/罐装/含气/菠萝西柚味/常规装,11000350,否,,,,,,,,,
67,战马/330ML/24/罐装/含气/蓝莓黑加仑味/常规装,11000349,否,,,,,,,,,
68,战马/330ML/24/罐装/含气/青苹果葡萄味/常规装,11000348,否,,,,,,,,,
69,战马/180ML/24/罐装/夏黑葡萄味,11000298,否,,,,,,,,,
70,战马/310ML/24/罐装/2025/广东扫码红包-新包装,11000334,否,,,,,,,,,
71,战马/310ML/24/罐装/2025/广东扫码1元乐享-新包装,11000322,否,,,,,,,,,
72,战马/310ML/24/罐装/新包装,11000321,否,,,,,,,,,
73,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码二期/2025,10001165,否,,,,,,,,,
74,红牛维生素功能饮料/普通型/250ML/24/30周年广东二期箱内码,10001164,否,,,,,,,,,
75,红牛维生素功能饮料/普通型/250ML/24/广东促销2025（含二期箱码）,10001163,否,,,,,,,,,
76,战马/400ML/15/不含气/2025/1元乐享（线上核销）/二段,11000283,否,,,,,,,,,
77,战马/400ML/15/不含气/2025/1元乐享/二段,11000282,否,,,,,,,,,
78,战马/400ML/15/不含气/2025/1元乐享（线上核销版）,11000281,否,,,,,,,,,
79,战马/400ML/15/不含气/2025/1元乐享,11000280,否,,,,,,,,,
80,战马/310ML/24/罐装/2025/线上1元乐享/二段（无箱码）,11000304,否,,,,,,,,,
81,战马/310ML/24/罐装/2025/线上1元乐享/二段（含箱码）,11000303,否,,,,,,,,,
82,战马/310ML/24/罐装/2025/1元乐享/二段-新疆（含箱码）,11000302,否,,,,,,,,,
83,战马/310ML/24/罐装/2025/1元乐享/二段（无箱码）,11000301,否,,,,,,,,,
84,战马/310ML/24/罐装/2025/1元乐享/二段（含箱码）,11000300,否,,,,,,,,,
85,战马/310ML/24/罐装/2025/线上1元乐享（无箱码）,11000273,否,,,,,,,,,
86,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）,11000272,否,,,,,,,,,
87,战马/310ML/24/罐装/2025/1元乐享-新疆（含箱码）,11000270,否,,,,,,,,,
88,战马/310ML/24/罐装/2025/1元乐享（无箱码）,11000268,否,,,,,,,,,
89,战马/310ML/24/罐装/2025/1元乐享（含箱码）,11000267,否,,,,,,,,,
90,红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供二期,10001155,否,,,,,,,,,
91,红牛维生素功能饮料/普通型/250ML/24/1元乐享-江西/2025,10001153,否,,,,,,,,,
92,红牛维生素功能饮料/普通型/250ML/24/1元乐享-云南贵州/2025,10001146,否,0.00740,2024-01-01,2029-08-01,,,,,,
93,红牛维生素功能饮料/普通型/250ML/24/新疆专供/2025,10001126,否,,,,,,,,,
94,红牛维生素功能饮料/普通型/250ML/24/新疆箱内码专供/2025,10001125,否,,,,,,,,,
95,红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2025,10001124,否,,,,,,,,,
96,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享/2025,10001104,否,,,,,,,,,
97,红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供一期,10001119,否,,,,,,,,,
98,红牛维生素功能饮料/普通型/250ML/24/30周年/24年广东箱内码三期,10001118,否,,,,,,,,,
99,红牛维生素功能饮料/牛磺酸强化型/250ml/24/30周年纪念装,10001117,否,,,,,,,,,
100,红牛维生素功能饮料/普通型/250ML/六罐装/30周年,10001116,否,,,,,,,,,
101,红牛维生素功能饮料/普通型/250ML/24/30周年纪念装,10001114,否,,,,,,,,,
102,红牛维生素功能饮料/普通型/250ML/24/1元换购-新疆青海/2024,10001060,否,0.00740,2024-04-01,9999-12-31,,,,,,
103,红牛维生素功能饮料/普通型/250ML/24/扫码促销-台州2元回收/2024,10001054,否,0.00740,2024-04-01,9999-12-31,,,,,,
104,红牛维生素功能饮料/普通型/250ml/24,10000000,否,0.00740,2024-04-01,9999-12-31,,,,,,
105,红牛维生素功能饮料/普通型/250ml/24,10000134,否,0.00740,2024-04-01,9999-12-31,,,,,,
106,红牛维生素功能饮料/普通型/250ML/24/扫码促销-含箱内码/2024,10001059,否,0.00740,2024-04-01,9999-12-31,,,,,,
107,红牛维生素功能饮料/普通型/250ML/扫码促销/六罐装/2024,10001058,否,0.00185,2024-04-01,9999-12-31,,,,,,
108,红牛维生素功能饮料/普通型/250ML/24/扫码促销/2024,10001057,否,0.00740,2024-04-01,9999-12-31,,,,,,
109,战马/400ML/15/不含气/2024/1元乐享LPL版,11000234,否,0.00730,2024-01-01,9999-12-31,,,,,,
110,红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码/2024,10001056,否,0.00740,2024-04-01,9999-12-31,,,,,,
111,战马/310ML/24/罐装/2024无箱内码/1元乐享-篮球,11000231,否,0.00840,2024-01-01,9999-12-31,,,,,,
112,战马/310ML/24/罐装/2024箱内码/1元乐享-篮球,11000230,否,0.00840,2024-01-01,9999-12-31,,,,,,
113,红牛维生素功能饮料/普通型/250ML/24/广东促销/2024,10001053,否,0.00740,2024-04-01,9999-12-31,,,,,,
114,好智粒1*15,好智粒1*15,否,0.00485,2023-01-01,9999-12-31,,,,,,
115,好智粒1*24,好智粒1*24,否,0.00650,2023-01-01,9999-12-31,,,,,,
116,好智粒1*12,好智粒1*12,否,0.00380,2023-01-01,9999-12-31,,,,,,
117,红牛胶带,,否,,,,,,,,,
118,进口芙丝天然泉水/24/500ml/Still-蓝瓶,80000131,否,0.01350,2023-01-01,9999-12-31,,,,,,
119,进口芙丝天然泉水/12/850ml/Still,80000114,否,0.01140,2023-01-01,9999-12-31,,,,,,
120,进口芙丝苏打水/12/375ml/Sparkling-黄瓜柠檬味,80000106,否,0.00843,2023-01-01,9999-12-31,,,,,,
121,进口气泡果味水/8罐/355ml/柠檬黄瓜味,80000103,否,0.00310,2023-01-01,9999-12-31,,,,,,
122,进口气泡果味水/8罐/355ml/草莓生姜味,80000102,否,0.00310,2023-01-01,9999-12-31,,,,,,
123,进口芙丝苏打水/12/375ml/Sparkling-青柠薄荷味,80000071,否,0.00835,2023-01-01,9999-12-31,,,,,,
124,进口芙丝苏打水/12/375ml/Sparkling-柑橘柠檬草味,80000070,否,0.00843,2023-01-01,9999-12-31,,,,,,
125,进口芙丝天然泉水/24/500ml/Still,80000015,否,0.01350,2023-01-01,9999-12-31,,,,,,
126,进口芙丝天然泉水/24/330ml/Still,80000014,否,0.00940,2023-01-01,9999-12-31,,,,,,
127,进口芙丝天然泉水/12/800ml/Still,80000013,否,0.01661,2023-01-01,9999-12-31,,,,,,
128,进口芙丝天然泉水/24/375ml/Still,80000012,否,0.01663,2023-01-01,9999-12-31,,,,,,
129,进口芙丝苏打水/12/800ml/Sparkling,80000011,否,0.01661,2023-01-01,9999-12-31,,,,,,
130,进口芙丝苏打水/24/375ml/Sparkling,80000010,否,0.01675,2023-01-01,9999-12-31,,,,,,
131,芙丝青提葡萄味气泡水,,否,0.00860,2023-01-01,9999-12-31,,,,,,
132,国产/风味饮料/500ML/15瓶/夏黑葡萄味,81000177,否,0.00865,2023-01-01,9999-12-31,,,,,,
133,国产/风味饮料/500ML/15瓶/黄柠檬青柠,81000175,否,0.00865,2023-01-01,9999-12-31,,,,,,
134,国产/风味饮料/500ML/15瓶/樱花白桃味,81000172,否,0.00865,2023-01-01,9999-12-31,,,,,,
135,芙丝蛋白肽气泡水荔枝玫瑰味,,否,0.00670,2023-01-01,9999-12-31,,,,,,
136,芙丝蛋白肽气泡水香茅味,,否,0.00670,2023-01-01,9999-12-31,,,,,,
137,国产/芙丝水500ML/24瓶装/静安璞隽联标,81000204,否,0.01390,2023-01-01,9999-12-31,,,,,,
138,国产/芙丝水500ML/24瓶装/沙漠钻石联标,81000200,否,0.01390,2023-01-01,9999-12-31,,,,,,
139,国产/芙丝水330ML/24瓶装/白膜/割箱-厦航专供,81000199,否,0.00960,2023-01-01,9999-12-31,,,,,,
140,国产/芙丝水375ML/20瓶/玻璃瓶/黑珍珠联名,81000162,否,0.01380,2023-01-01,9999-12-31,,,,,,
141,国产/芙丝水375ML/20瓶装/玻璃瓶,81000152,否,0.01380,2023-01-01,9999-12-31,,,,,,
142,国产/芙丝水375ML/12瓶装/柑橘柠檬草,81000144,否,,,,,,,,,
143,国产/芙丝水375ML/12瓶装/玻璃瓶,81000122,否,,,,,,,,,
144,国产/芙丝水375ML/24瓶装/玻璃瓶,81000121,否,,,,,,,,,
145,国产/芙丝蛋白肽气泡水249ml/12罐装/香茅味,81000093,否,,,,,,,,,
146,芙丝蛋白肽/249ML*6*2/香茅,81000120,否,,,,,,,,,
147,芙丝蛋白肽/249ML*6/香茅,81000119,否,,,,,,,,,
148,国产/芙丝蛋白肽气泡水249ml/12罐装/荔枝玫瑰味,81000092,否,,,,,,,,,
149,芙丝蛋白肽/249ML*6*2/荔枝玫瑰,81000118,否,,,,,,,,,
150,芙丝蛋白肽/249ML*6/荔枝玫瑰,81000117,否,,,,,,,,,
151,国产/芙丝气泡水330ML/12瓶装/青提葡萄/含投奖卡,81000108,否,0.00430,2023-01-01,9999-12-31,,,,,,
152,国产/芙丝气泡水330ML/12瓶装/樱花白桃/含投奖卡,81000107,否,0.00430,2023-01-01,9999-12-31,,,,,,
153,国产/芙丝气泡水330ML/12瓶装/青柠生姜/含投奖卡,81000106,否,0.00430,2023-01-01,9999-12-31,,,,,,
154,国产/芙丝气泡水330ML/12瓶装/荔枝香橙,81000193,否,0.00430,2023-01-01,9999-12-31,,,,,,
155,国产/芙丝气泡水330ML/12瓶装/柠檬黄瓜,81000105,否,0.00430,2023-01-01,9999-12-31,,,,,,
156,国产/芙丝气泡水330ML/12瓶装/青提葡萄,81000104,否,0.00430,2023-01-01,9999-12-31,,,,,,
157,国产/芙丝气泡水330ML/12瓶装/樱花白桃,81000103,否,0.00430,2023-01-01,9999-12-31,,,,,,
158,国产/芙丝气泡水330ML/12瓶装/青柠生姜,81000102,否,0.00430,2023-01-01,9999-12-31,,,,,,
159,国产/芙丝气泡水330ML/24瓶装/柠檬黄瓜,81000101,否,0.00860,2023-01-01,9999-12-31,,,,,,
160,国产/芙丝气泡水330ML/24瓶装/青提葡萄,81000100,否,0.00860,2023-01-01,9999-12-31,,,,,,
161,国产/芙丝气泡水330ML/24瓶装/樱花白桃,81000099,否,0.00860,2023-01-01,9999-12-31,,,,,,
162,国产/芙丝气泡水330ML/24瓶装/青柠生姜,81000096,否,0.00860,2023-01-01,9999-12-31,,,,,,
163,国产/芙丝水330ML/24瓶装/滴滴联标/牛皮纸,81000164,否,0.00928,2023-01-01,9999-12-31,,,,,,
164,国产/芙丝水330ML/30瓶装/电商纯享,81000161,否,0.01175,2023-01-01,9999-12-31,,,,,,
165,国产/芙丝水500ML/20瓶装/电商纯享,81000160,否,0.01145,2023-01-01,9999-12-31,,,,,,
166,国产/芙丝水330ML/24瓶装/万达瑞华联标,81000130,否,0.00960,2023-01-01,9999-12-31,,,,,,
167,国产/芙丝水500ML/24瓶装/出口澳门,81000126,否,0.01390,2023-01-01,9999-12-31,,,,,,
168,国产/芙丝水330ML/24瓶装/出口澳门,81000125,否,0.00960,2023-01-01,9999-12-31,,,,,,
169,国产/芙丝水500ML/24瓶装/出口新加坡,81000038,否,0.01390,2023-01-01,9999-12-31,,,,,,
170,国产/芙丝水330ML/24瓶装/出口新加坡,81000039,否,0.00960,2023-01-01,9999-12-31,,,,,,
171,国产/芙丝水4L/4瓶装,81000060,否,0.01770,2023-01-01,9999-12-31,,,,,,
172,国产/芙丝水330ML/24瓶装/电商/品鉴,81000064,否,0.00920,2023-01-01,9999-12-31,,,,,,
173,国产/芙丝水500ML/12瓶装/白膜,81000030,否,0.00705,2023-01-01,9999-12-31,,,,,,
174,国产/芙丝水330ML/24瓶装/WHDH联标,81000195,否,0.00960,2023-01-01,9999-12-31,,,,,,
175,国产/芙丝水330ML/24瓶装/湖北中烟联标,81000195,否,0.00960,2023-01-01,9999-12-31,,,,,,
176,国产/芙丝水330ML/24瓶装/LUX酒店联名,81000194,否,0.00960,2023-01-01,9999-12-31,,,,,,
177,国产/芙丝水330ML/24瓶装/特供装,81000190,否,0.00960,2023-01-01,9999-12-31,,,,,,
178,国产/芙丝水330ML/24瓶装/白膜,81000003,否,0.00960,2023-01-01,9999-12-31,,,,,,
179,国产/芙丝水330ML/24瓶装,81000001,否,0.00960,2023-01-01,9999-12-31,,,,,,
180,国产/芙丝水500ML/24瓶装/特供装,81000192,否,0.01390,2023-01-01,9999-12-31,,,,,,
181,国产/芙丝水500ML/24瓶装/红韵/圣诞装,81000141,否,0.01390,2023-01-01,9999-12-31,,,,,,
182,国产/芙丝水500ML/24瓶装/长江河湖联标,81000114,否,0.01390,2023-01-01,9999-12-31,,,,,,
183,国产/芙丝水500ML/24瓶装/便利蜂联标,81000113,否,0.01390,2023-01-01,9999-12-31,,,,,,
184,国产/芙丝水500ML/24瓶装/红韵,81000090,否,0.01390,2023-01-01,9999-12-31,,,,,,
185,国产/芙丝水500ML/24瓶装/白膜,81000002,否,0.01390,2023-01-01,9999-12-31,,,,,,
186,国产/芙丝水500ML/24瓶装,81000000,否,0.01390,2023-01-01,9999-12-31,,,,,,
187,唯他可可椰子水/原味/310ml/罐装,70000124,否,0.00825,2023-01-01,9999-12-31,,,,,,
188,唯他可可椰子水/醇香风味/500ml/PET瓶装,70000121,否,0.00668,2023-01-01,9999-12-31,,,,,,
189,唯他可可椰子水/原味/500ml/六瓶装,70000060,否,0.00340,2023-01-01,9999-12-31,,,,,,
190,唯他可可椰子水/原味/500ml,70000051,否,0.00667,2023-01-01,9999-12-31,,,,,,
191,唯他可可椰子水/蜂蜜味/330ml,70000050,否,0.00450,2023-01-01,9999-12-31,,,,,,
192,唯他可可椰子水/菠萝味/330ml,70000045,否,0.00450,2023-01-01,9999-12-31,,,,,,
193,唯他可可椰子水/原味/330ml/航空专用,70000043,否,0.00450,2023-01-01,9999-12-31,,,,,,
194,唯他可可椰子水/原味/1L/航空专用,70000041,否,0.01320,2023-01-01,9999-12-31,,,,,,
195,唯他可可椰子水/凤梨口味/330ml,70000128,否,0.00450,2023-01-01,9999-12-31,,,,,,
196,唯他可可椰子水/醇香风味/330ml/利乐瓶装,70000123,否,0.00450,2023-01-01,9999-12-31,,,,,,
197,唯他可可椰子水/原味/330ml/天猫专供,70000071,否,0.00450,2023-01-01,9999-12-31,,,,,,
198,唯他可可椰子水/原味/330ml,70000002,否,0.00450,2023-01-01,9999-12-31,,,,,,
199,唯他可可椰子水/原味/1L,70000001,否,0.01320,2023-01-01,9999-12-31,,,,,,
200,果倍爽/樱桃复合果汁/330ML/文案装,60000235,否,0.00554,2023-01-01,9999-12-31,,,,,,
201,果倍爽/红葡萄汁/330ML/文案装,60000234,否,0.00554,2023-01-01,9999-12-31,,,,,,
202,果倍爽/橙汁/330ML/文案装,60000233,否,0.00554,2023-01-01,9999-12-31,,,,,,
203,果倍爽/樱桃复合果汁/330ML,60000022,否,0.00554,2023-01-01,9999-12-31,,,,,,
204,果倍爽/红葡萄汁/330ML,60000021,否,0.00554,2023-01-01,9999-12-31,,,,,,
205,果倍爽/橙汁/330ML,60000020,否,0.00554,2023-01-01,9999-12-31,,,,,,
206,果倍爽/猕猴桃复合果汁/六袋装/200ML/果小包盲盒,60000256,否,0.00420,2023-01-01,9999-12-31,,,,,,
207,果倍爽/黑加仑复合果汁/六袋装/200ML/果小包盲盒,60000255,否,0.00420,2023-01-01,9999-12-31,,,,,,
208,果倍爽/桃苹果复合果汁/六袋装/200ML/果小包盲盒,60000254,否,0.00420,2023-01-01,9999-12-31,,,,,,
209,果倍爽/梨汁/六袋装/200ML/果小包盲盒,60000253,否,0.00420,2023-01-01,9999-12-31,,,,,,
210,果倍爽/白葡萄汁/六袋装/200ML/果小包盲盒,60000252,否,0.00420,2023-01-01,9999-12-31,,,,,,
211,果倍爽/橙汁/六袋装/200ML/果小包盲盒,60000251,否,0.00420,2023-01-01,9999-12-31,,,,,,
212,果倍爽/猕猴桃复合果汁/六袋装/200ML/2020年整箱促销,60000217,否,0.00420,2023-01-01,9999-12-31,,,,,,
213,果倍爽/黑加仑复合果汁/六袋装/200ML/2020年整箱促销,60000216,否,0.00420,2023-01-01,9999-12-31,,,,,,
214,果倍爽/桃苹果复合果汁/六袋装/200ML/2020年整箱促销,60000215,否,0.00420,2023-01-01,9999-12-31,,,,,,
215,果倍爽/梨汁/六袋装/200ML/2020年整箱促销,60000214,否,0.00420,2023-01-01,9999-12-31,,,,,,
216,果倍爽/白葡萄汁/六袋装/200ML/2020年整箱促销,60000213,否,0.00420,2023-01-01,9999-12-31,,,,,,
217,果倍爽/橙汁/六袋装/200ML/2020年整箱促销,60000211,否,0.00420,2023-01-01,9999-12-31,,,,,,
218,果倍爽/橙汁/六袋装/200ML/果小包,60000171,否,0.00420,2023-01-01,9999-12-31,,,,,,
219,果倍爽/橙汁/六袋装/200ML/运动版果小包,60000221,否,0.00420,2023-01-01,9999-12-31,,,,,,
220,果倍爽/猕猴桃复合果汁/六袋装/200ML/2019开箱有礼,60000185,否,0.00420,2023-01-01,9999-12-31,,,,,,
221,果倍爽/黑加仑复合果汁/六袋装/200ML/2019开箱有礼,60000184,否,0.00420,2023-01-01,9999-12-31,,,,,,
222,果倍爽/桃苹果复合果汁/六袋装/200ML/2019开箱有礼,60000183,否,0.00420,2023-01-01,9999-12-31,,,,,,
223,果倍爽/梨汁/六袋装/200ML/2019开箱有礼,60000182,否,0.00420,2023-01-01,9999-12-31,,,,,,
224,果倍爽/白葡萄汁/六袋装/200ML/2019开箱有礼,60000181,否,0.00420,2023-01-01,9999-12-31,,,,,,
225,果倍爽/橙汁/六袋装/200ML/2019开箱有礼,60000180,否,0.00420,2023-01-01,9999-12-31,,,,,,
226,果倍爽/猕猴桃复合果汁/200ML,60000091,否,0.00420,2023-01-01,9999-12-31,,,,,,
227,果倍爽/黑加仑复合果汁/200ML,60000090,否,0.00420,2023-01-01,9999-12-31,,,,,,
228,果倍爽/桃苹果复合果汁/200ML,60000003,否,0.00420,2023-01-01,9999-12-31,,,,,,
229,果倍爽/梨汁/200ML,60000002,否,0.00420,2023-01-01,9999-12-31,,,,,,
230,果倍爽/白葡萄汁/200ML,60000001,否,0.00420,2023-01-01,9999-12-31,,,,,,
231,果倍爽/橙汁/200ML,60000000,否,0.00420,2023-01-01,9999-12-31,,,,,,
232,战马无糖解酒型试机装,,否,0.00495,2023-01-01,9999-12-31,,,,,,
233,战马无糖型试机装,,否,0.00495,2023-01-01,9999-12-31,,,,,,
234,战马/180ML/24/罐装/含气/柠檬味,11000182,否,0.00498,2023-01-01,9999-12-31,,,,,,
235,战马/180ML/24/罐装/含气/西柚味,11000181,否,0.00499,2023-01-01,9999-12-31,,,,,,
236,战马/180ML/24/罐装/含气/白桃味,11000180,否,0.00499,2023-01-01,9999-12-31,,,,,,
237,战马/180ML/24/罐装/含气/无糖,11000179,否,0.00499,2023-01-01,9999-12-31,,,,,,
238,战马/180ML/6/罐装/玉米低聚肽,11000164,否,0.00128,2023-01-01,9999-12-31,,,,,,
239,战马/180ML/6/罐装/大豆肽,11000163,否,0.00128,2023-01-01,9999-12-31,,,,,,
240,战马/180ML/6/罐装/浓郁型,11000162,否,0.00128,2023-01-01,9999-12-31,,,,,,
241,战马/180ML/6/罐装/柠檬味,11000161,否,0.00128,2023-01-01,9999-12-31,,,,,,
242,战马/180ML/6/罐装/西柚味,11000160,否,0.00128,2023-01-01,9999-12-31,,,,,,
243,战马/180ML/6/罐装/白桃味,11000159,否,0.00128,2023-01-01,9999-12-31,,,,,,
244,战马/310ML/24/罐装/广东云南促销-篮球,11000221,否,0.00840,2023-01-01,9999-12-31,,,,,,
245,战马/310ML/24/罐装/2023/穿越火线联名版,11000214,否,0.00840,2023-01-01,9999-12-31,,,,,,
246,战马/310ML/24/罐装/常规-LPL女版,11000208,否,0.00840,2023-01-01,9999-12-31,,,,,,
247,战马/310ML/24/罐装/广深东扫码-LPL女版,11000207,否,0.00840,2023-01-01,9999-12-31,,,,,,
