u{FEFF}条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
"8000003180","44码卫尔盾劳保鞋","44码","劳保用品","双","卫尔盾","",,,0,"已启用",,,,"否","否"
"8000003179","晕车贴","【热卖爆款】晕车贴/退热贴-晕车贴出游神器30贴【儿童成人】","防疫用品","盒","久卜制药","",,,0,"已启用",,,,"否","否"
"8000003178","烫伤膏","【仁和烫伤膏】","防疫用品","支","仁和","",,,0,"已启用",,,,"否","否"
"8000003177","碘伏消毒棉棒","碘伏碘酒消毒棉签50支","防疫用品","盒","云南白药","",,,0,"已启用",,,,"否","否"
"8000003176","藿香正气水","10ml/支*8支/盒","劳保用品","盒","迪泰","",,,0,"已启用",,,,"否","否"
"8000003175","粘蝇纸","50片装","清洁用品","件","榄菊","",,,0,"已启用",0.000,,,"否","否"
"8000003174","白色橡胶管","8*14（1米）","清洁用品","条","海斯迪克","",,,0,"已启用",,,,"否","否"
"8000003173","电蚊拍","","清洁用品","个","AUX","",,,0,"已启用",,,,"否","否"
"8000003172","缠绕膜神器","","清洁用品","个","贝傅特","",,,0,"已启用",,,,"否","否"
"8000003171","防撞条","3代加厚经典免贴米白色2米","劳保用品","卷","纽备丽提","",,,0,"已启用",,,,"否","否"
"8000003170","五点全身式安全带","双大勾缓冲包1.8m","劳保用品","个","","",,,0,"已启用",,,,"否","否"
"8000003169","碘伏","500ml/瓶","劳保用品","瓶","可孚","",,,0,"已启用",,,,"否","否"
"8000003168","防毒面罩配件(滤棉）","M5N11（KN95滤棉)10片","劳保用品","包","胜丽","",,,0,"已启用",,,,"否","否"
"8000003167","防化服","T-Gaed 500 XL码 C级防腐耐酸碱限次型","劳保用品","套","胜丽","",,,0,"已启用",,,,"否","否"
"8000003166","防毒面具(全面罩)","m6800+m6006 综合气体防护m6800+一级滤毒盒","劳保用品","个","胜丽","",,,0,"已启用",,,,"否","否"
"8000003165","耐酸碱手套","2双装XGS-R3","劳保用品","套","星工","",,,0,"已启用",,,,"否","否"
"8000003164","长袖白大褂","（松紧袖） 白色 165","劳保用品","件","元棉","",,,0,"已启用",,,,"否","否"
"8000003163","聘书","三折页单本装","办公用品","个","得力","",,,0,"已启用",,,,"否","否"
"8000003162","货品放行单","210x145mm2联/50份/本起订量100本","办公用品","本","定制","",,,0,"已启用",,,,"否","否"
"8000003161","有效空间安全作业告知牌","40*30CM/车贴","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000003160","当心有限空间标识","40*30CM/车贴","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000003159","磨刀器","C52010100","办公用品","个","张小泉","",,,0,"已启用",,,,"否","否"
"8000003158","USB3.0延长线","5米","办公用品","个","达而稳","",,,0,"已启用",0.000,,,"否","否"
"8000003157","转接线","USB转RS232/1.5米","办公用品","个","帝特","",,,0,"已启用",0.000,,,"否","否"
"8000003156","灰色文件夹","A4/12个/件","办公用品","件","得力","",,,0,"已启用",0.000,,,"否","否"
"8000003155","会计凭证盒"," 260*150*50mm","办公用品","包","西玛","",,,0,"已启用",,,,"否","否"
"8000003154","垃圾桶","9L","办公用品","个","五月花","",,,0,"已启用",,,,"否","否"
"8000003153","笔记本电脑包","B14","办公用品","个","联想","",,,0,"已启用",,,,"否","否"
"8000003152","无线鼠标","WM118/黑色","办公用品","个","戴尔","",,,0,"已启用",,,,"否","否"
"8000003150","莱士曼氏乳酸杆菌冻干菌种","1支/瓶","实验耗材","瓶","","",,,0,"已启用",,,,"否","否"
"8000003149","维生素B12测定培养基","100g/瓶","实验耗材","瓶","","",,,0,"已启用",,,,"否","否"
"8000003148","微生物B12检测试剂盒","96T/盒","实验耗材","盒","","",,,0,"已启用",,,,"否","否"
"8000003147","氦气","10L/瓶/99.999%（含运费）","实验耗材","瓶","","",,,0,"已启用",,,,"否","否"
"55000006","橡皮","黄色","办公用品","块","得力","",,,0,"已启用",,7,,"否","否"
"8000003040","插座防水盒","86型透明黑","维修耗材","个","公牛","",,,0,"已启用",,,,"否","否"
"8000003039","样品瓶盖","UR-5820-9MM-500","实验耗材","盒","URAN","",,,0,"已启用",,,,"否","否"
"8000003038","食品合成色素胭脂红5ml","有证书，标准品，5mL","实验耗材","支","计量院","",,,0,"已启用",,,,"否","否"
"8000003037","食品合成色素柠檬黄5ml","有证书，标准品，5mL","实验耗材","支","计量院","",,,0,"已启用",,,,"否","否"
"8000003036","苯甲酸标准品","有证书，标准品，100g","实验耗材","支","广东计量","",,,0,"已启用",,,,"否","否"
"8000003035","烟酰胺标准品","有证书，标准品，100g","实验耗材","支","计量院","",,,0,"已启用",,,,"否","否"
"8000003034","移液枪盒子","【1250μL】96孔 1个","实验耗材","个","比克曼生物","",,,0,"已启用",,,,"否","否"
"8000003033","Palintest PT549 甘氨酸试剂","25ml/瓶","实验耗材","瓶","百灵达","",,,0,"已启用",,,,"否","否"
"8000003032","Palintest水质检测试剂(DPD N0.1余氯试剂)","250片/盒","实验耗材","盒","百灵达","",,,0,"已启用",,,,"否","否"
"8000003031","棕色溶剂瓶1000ml","棕色玻璃试剂瓶1000毫升1个","实验耗材","个","YIKEYI","",,,0,"已启用",,,,"否","否"
"8000003030","5A分子筛","1000g","实验耗材","袋","国药","",,,0,"已启用",,,,"否","否"
"8000003029","活性炭","500g 分析纯AR","实验耗材","袋","大茂","",,,0,"已启用",,,,"否","否"
"8000003028","自救呼吸器","","应急防汛","个","","",,,0,"已启用",,,,"否","否"
"8000003027","防毒面罩过滤盒","","应急防汛","个","","",,,0,"已启用",,,,"否","否"
"8000003026","软管","G000080300","维修耗材","米","PE","",,,0,"已启用",,,,"否","否"
"8000003025","干燥剂","F000090250","维修耗材","个","PE","",,,0,"已启用",,,,"否","否"
"8000003024","反渗透及管路清洗组件","H20-CCS","维修耗材","支","赛多利斯","",,,0,"已启用",,,,"否","否"
"8000003023","50L储水袋","H20-CBS-50/2支/盒","维修耗材","盒","赛多利斯","",,,0,"已启用",,,,"否","否"
"8000003022","终端过滤器","5441307H4-CE","维修耗材","个","赛多利斯","",,,0,"已启用",,,,"否","否"
"8000003021","水机耗材包(反渗透柱*1、预处理柱*1)","SB-12-03-0609","维修耗材","套","赛多利斯","",,,0,"已启用",,,,"否","否"
"8000003020","水机耗材包(超纯化柱*1、紫外灯*1）","SB-12-03-0603","维修耗材","套","赛多利斯","",,,0,"已启用",,,,"否","否"
"8000003019","支架配件","与100ML漏斗配套","维修耗材","个","赛多利斯","",,,0,"已启用",,,,"否","否"
"8000003018","主动阀阀芯400bar","货号：5062-8562","维修耗材","个","安捷伦","",,,0,"已启用",,,,"否","否"
"8000003017","流动相过滤头","货号：5041-2168","维修耗材","个","安捷伦","",,,0,"已启用",,,,"否","否"
"8000003016","清洗阀过滤芯","货号：01018-22707","维修耗材","包","安捷伦","",,,0,"已启用",,,,"否","否"
"8000003015","五孔插座","G07Z223S 象牙白","维修耗材","个","公牛","",,,0,"已启用",,,,"否","否"
"8000003014","拖布架","4夹5钩简约白50cm","清洁用品","个","ecoco意可可","",,,0,"已启用",,,,"否","否"
"8000003013","稀释剂","7L","工具","桶","","",,,0,"已启用",,,,"否","否"
"8000003012","醇酸调合漆","7L/葱绿","工具","桶","","",,,0,"已启用",,,,"否","否"
"8000003011","自喷漆","白色","工具","瓶","三和","",,,0,"已启用",,,,"否","否"
"8000003010","自喷漆","葱绿","工具","瓶","三和","",,,0,"已启用",,,,"否","否"
"8000003009","自喷漆","银色","工具","瓶","三和","",,,0,"已启用",,,,"否","否"
"8000003008","自喷漆","中蓝","工具","瓶","三和","",,,0,"已启用",,,,"否","否"
"8000003007","自喷漆","钻石蓝","工具","瓶","三和","",,,0,"已启用",,,,"否","否"
"8000003006","防火门锁","","工具","套","","",,,0,"已启用",,,,"否","否"
"8000003005","万能型轴承拉马","十八件/套","工具","套","","",,,0,"已启用",,,,"否","否"
"8000003004","M10螺杆","M10*1米","工具","根","","",,,0,"已启用",,,,"否","否"
"8000003003","千斤顶","20吨","工具","台","","",,,0,"已启用",,,,"否","否"
"8000003002","不锈钢内六角螺栓","M8*80","工具","根","","",,,0,"已启用",,,,"否","否"
"8000003001","十字螺丝刀","5*150（62309）","工具","个","世达","",,,0,"已启用",,,,"否","否"
"8000003000","防水创口贴","创口贴100片","防疫用品","盒","云南白药","",,,0,"已启用",0.000,,,"否","否"
"8000002999","金银花爬藤架","2MM*100米","清洁用品","米","","",,,0,"已启用",,,,"否","否"
"8000002998","百菌灵","50克/瓶","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002997","水培营养液","600ML*2/瓶","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002996","营养花肥","1L/瓶","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002995","有机营养土","80斤/袋","清洁用品","袋","","",,,0,"已启用",,,,"否","否"
"8000002994","花肥","500G/袋","清洁用品","袋","","",,,0,"已启用",,,,"否","否"
"8000002993","清洁空气魔盒","多功能空气魔盒2盒装*1","清洁用品","套","尚美德","",,,0,"已启用",,,,"否","否"
"8000002992","洗护套装","100g+100g","清洁用品","套","力士","",,,0,"已启用",,,,"否","否"
"8000002991","除霉剂","400ml*2","清洁用品","套","花王","",,,0,"已启用",,,,"否","否"
"8000002990","垃圾夹","手动","清洁用品","个","美丽新","",,,0,"已启用",,,,"否","否"
"8000002989","真空压缩收纳袋","压缩袋:5个特大号、5个中立体 电泵：1个","清洁用品","套","太力","",,,0,"已启用",,,,"否","否"
"55000071","百事贴","76mm*76mm/黄色 ","办公用品","本","得力","",,,0,"已启用",,7,,"否","否"
"8000002987","43码低腰雨鞋","43码","劳保用品","双","","",,,0,"已启用",,7,,"否","否"
"8000002986","41码低腰雨鞋","41码","劳保用品","双","","",,,0,"已启用",,7,,"否","否"
"8000002985","40码低腰雨鞋","40码","劳保用品","双","","",,,0,"已启用",,7,,"否","否"
"8000002984","39码低腰雨鞋","39码","劳保用品","双","","",,,0,"已启用",,7,,"否","否"
"8000002983","护目镜","","劳保用品","个","","",,,0,"已启用",,7,,"否","否"
"8000002982","定制折叠款取物夹","长度2米","劳保用品","个","","",,,0,"已启用",,,,"否","否"
"8000002981","塑料托盘","500*350*50","劳保用品","个","康工达","",,,0,"已启用",,,,"否","否"
"8000002980","塑料托盘","410*290*90","劳保用品","个","江波","",,,0,"已启用",,,,"否","否"
"8000002979","医用棉球","10袋/盒","劳保用品","盒","稳健医辽","",,,0,"已启用",,,,"否","否"
"8000002978","双开门工具柜","红色630*400*810mm","费用化办公家具资产","个","冰禹","",,,0,"已启用",,,,"否","否"
"8000002977","货架分隔板","双面卡扣5*3cm 长50*高35cm","办公用品","个","弄名堂","",,,0,"已启用",,,,"否","否"
"8000002976","pvc磨砂胶带","黑黄5CM*5M","办公用品","卷","稳斯坦","",,,0,"已启用",,,,"否","否"
"8000002975","U盘","64GB","办公用品","盒","爱国者","",,,0,"已启用",,,,"否","否"
"8000002974","卷尺","5米","办公用品","个","史丹利","",,,0,"已启用",,,,"否","否"
"8000002973","L透明文件套","5705文件套×20","办公用品","套","得力（deli）","",,,0,"已启用",,,,"否","否"
"8000002972","莫兰迪文件索引贴","莫兰迪多规格420枚","办公用品","套","晨光","",,,0,"已启用",,,,"否","否"
"8000002971","超五类网线","TL-EC5e-305B","办公用品","箱","普联（TP-LINK）","",,,0,"已启用",,,,"否","否"
"8000002970","万元红包","10个装","办公用品","套","得力","",,,0,"已启用",,,,"否","否"
"8000002969","门锁","-","办公用品","个","繁佳","",,,0,"已启用",,,,"否","否"
"8000002968","可伸缩收纳盒","克伸缩收纳盒大号","办公用品","个","侑家良品","",,,0,"已启用",,,,"否","否"
"8000002967","感应灯","感应灯暖光款 1200mA","办公用品","个","酷火","",,,0,"已启用",,,,"否","否"
"8000002966","笔筒","三格办公桌面收纳盒摆件","办公用品","个","齐心","",,,0,"已启用",,,,"否","否"
"8000002965","温湿度计","两用不带底座","办公用品","个","海斯迪克","",,,0,"已启用",,,,"否","否"
"8000002964","透明PVC桌垫","60*120CM","办公用品","张","富居","",,,0,"已启用",,,,"否","否"
"8000002962","小号记事本","192页","办公用品","本","旭彤","",,,0,"已启用",,,,"否","否"
"30001343","液压油","L-HM68: 16KG","辅料","桶","长城","",,,0,"已启用",0.000,7,,"否","否"
"8000002896","一次性头套","100个/包/10包/箱","劳保用品","包","","",,,0,"已启用",0.000,,,"否","否"
"8000002895","成品返工单","210*145mm /2联 /50份/本","办公用品","本","定制","",,,0,"已启用",,,,"否","否"
"8000002894","防尘掸子","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002893","水桶","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002892","自动感应皂液器","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002891","爆炸盐","","清洁用品","桶","","",,,0,"已启用",,,,"否","否"
"8000002890","小便池下水管","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002889","防滑垫","","清洁用品","张","","",,,0,"已启用",,,,"否","否"
"8000002888","丝圈脚垫","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002887","吸水地垫","","清洁用品","米","","",,,0,"已启用",,,,"否","否"
"8000002886","玻璃擦替换布","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002885","玻璃刮","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002884","清洁夹钳","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002883","不锈钢拖把夹钩","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002882","落地式拖把架","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002881","刮水器60cm","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002880","擦机纸","","清洁用品","箱","","",,,0,"已启用",,,,"否","否"
"8000002879","百洁布","","清洁用品","片","","",,,0,"已启用",,,,"否","否"
"8000002878","钢丝球","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002877","抹布（废布）","","清洁用品","KG","","",,,0,"已启用",,,,"否","否"
"8000002876","清洁抹布","8片/包","清洁用品","包","毕亚兹","",,,0,"已启用",0.000,,,"否","否"
"8000002875","粘毛滚筒","","清洁用品","卷","","",,,0,"已启用",,,,"否","否"
"8000002874","粘毛器","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002873","双节杆2.4米","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002872","三节杆9米","","清洁用品","根","","",,,0,"已启用",,,,"否","否"
"8000002871","三节杆6米","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002870","清洁进行中立牌","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002869","软毛刷（刷鞋）","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002868","硬毛地刷","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002867","地刷","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002866","钢丝刷","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002865","长柄清洁刷","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002864","软毛除尘刷","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002863","玻璃擦神器","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002862","蓝月亮小","","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002861","撑子尘推支架配件（90CM）","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002860","尘推宽拖把90cm","","清洁用品","把","","",,,0,"已启用",0.000,,,"否","否"
"8000002859","玻璃清洗剂","","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002858","500ml酒精喷壶","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002857","干手器","","清洁用品","台","","",,,0,"已启用",,,,"否","否"
"8000002856","洗洁精","1.5kg/瓶","清洁用品","瓶","雕牌","",,,0,"已启用",0.000,,,"否","否"
"8000002855","马桶刷","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002854","下水道疏通器","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002853","洗衣粉","","清洁用品","袋","","",,,0,"已启用",,,,"否","否"
"8000002852","洁厕剂（威猛先生）","","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002851","刷刷净（小）","","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002850","刷刷净（大）","","清洁用品","桶","","",,,0,"已启用",,,,"否","否"
"8000002849","滴露消毒液750ml","","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002848","去味芳香球","","清洁用品","包","","",,,0,"已启用",,,,"否","否"
"8000002847","空气清洗剂","","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002846","精油","","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002845","洗手液榄菊","","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002844","商用大盘纸","","清洁用品","卷","","",,,0,"已启用",,,,"否","否"
"8000002843","鞋套机专用鞋套","","清洁用品","包","","",,,0,"已启用",,,,"否","否"
"8000002842","垃圾袋90*130cm","","清洁用品","包","","",,,0,"已启用",,,,"否","否"
"8000002841","垃圾袋30*50cm","","清洁用品","包","","",,,0,"已启用",,,,"否","否"
"8000002840","蚊香液","","清洁用品","瓶","","",,,0,"已启用",,,,"否","否"
"8000002839","手部消毒机","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002838","酒精消毒盒","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002837","洗手液盒","","清洁用品","个","","",,,0,"已启用",,,,"否","否"
"8000002836","木柄铲刀3英寸","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002835","扫把簸箕套装（蓝色）","","清洁用品","套","","",,,0,"已启用",,,,"否","否"
"8000002834","扫把簸箕套装（白色）","","清洁用品","套","","",,,0,"已启用",,,,"否","否"
"8000002833","27CM海绵拖把（红色）","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002832","33CM海绵拖把（红色）","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002831","38CM海绵拖把（红色）","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002830","38CM海绵拖把（蓝色）","","清洁用品","把","","",,,0,"已启用",,,,"否","否"
"8000002829","平板拖把","90cm","清洁用品","套","白云清洁","",,,0,"已启用",0.000,,,"否","否"
"8000002828","湿手器","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002827","透明桌垫","","办公用品","张","","",,,0,"已启用",,,,"否","否"
"8000002826","墨粉","黄、青、黑、红/C2560CPS","办公用品","套","富士施乐","",,,0,"已启用",0.000,,,"否","否"
"8000002825","对讲机","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002824","热敏标签纸","","办公用品","卷","","",,,0,"已启用",,,,"否","否"
"8000002823","纳米胶带","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002822","美纹纸胶带","","办公用品","卷","","",,,0,"已启用",,,,"否","否"
"8000002821","冷热两用一次性纸杯","","办公用品","袋","","",,,0,"已启用",,,,"否","否"
"8000002820","指针式温度计","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002819","碱性电池","","办公用品","粒","","",,,0,"已启用",,,,"否","否"
"8000002818","7号电池","","办公用品","粒","","",,,0,"已启用",,,,"否","否"
"8000002817","5号电池","","办公用品","粒","","",,,0,"已启用",,,,"否","否"
"8000002816","2号电池","","办公用品","粒","","",,,0,"已启用",,,,"否","否"
"8000002815","1号电池","","办公用品","粒","","",,,0,"已启用",,,,"否","否"
"8000002814","纽扣电池","","办公用品","粒","","",,,0,"已启用",,,,"否","否"
"8000002813","无痕免打孔挂钩","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002812","不锈钢小弯钩","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002811","封箱器","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002810","台式胶带机座","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002809","手压式封口机400mm","","办公用品","台","","",,,0,"已启用",,,,"否","否"
"8000002808","公牛插板（6位/5米）","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002807","两角防摔插头","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002806","魔方插座","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002805","定时器","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002804","公牛定时插座","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002803","公牛三角插头","","办公用品","个","","",,,0,"已启用",,,,"否","否"
"8000002802","色带（红色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002801","色带（白色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002800","色带（蓝色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002799","色带（黑色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002798","标签纸（白色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002797","标签纸（银光拉丝）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002796","标签纸（蓝色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002795","标签纸（红色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002794","标签纸（绿色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002793","标签纸（黄色）","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002792","百事贴","","办公用品","包","","",,,0,"已启用",,,,"否","否"
"8000002791","中号索引贴标签贴","【速干索引贴】中号 80枚","办公用品","包","得力","",,,0,"已启用",0.000,,,"否","否"
"8000002790","标签贴纸51*38mm","","办公用品","包","","",,,0,"已启用",,,,"否","否"
"8000002789","计算器","","办公用品","台","","",,,0,"已启用",,,,"否","否"
"8000002788","502强力万能胶水","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002787","万能胶","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002786","透明固体胶","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002785","液体胶50ml","","办公用品","支","","",,,0,"已启用",,,,"否","否"
"8000002784","泡沫双面胶","","办公用品","卷","","",,,0,"已启用",,,,"否","否"
"8000002783","透明胶带（大）","","办公用品","卷","","",,,0,"已启用",,,,"否","否"
"8000002782","不锈钢直尺30cm","","办公用品","把","","",,,0,"已启用",,,,"否","否"
"8000002781","不锈钢直尺50CM","","办公用品","把","","",,,0,"已启用",,,,"否","否"
"8000002780","工业剪刀","","办公用品","把","","",,,0,"已启用",,,,"否","否"
"8000002779","水果刀","","办公用品","把","","",,,0,"已启用",,,,"否","否"
"8000002778","T型刀片","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002777","9mm美工刀","","办公用品","把","","",,,0,"已启用",,,,"否","否"
"8000002776","18mm美工刀片","","办公用品","盒","","",,,0,"已启用",,,,"否","否"
"8000002775","橡皮","","办公用品","块","","",,,0,"已启用",,,,"否","否"
