u{FEFF}物料编码,产品名称,分类,对象,单位,标箱折扣系数,外箱价格,封箱方式,内包装形式,投放区域,箱入数,保质期,保质期预警(天),材质,是否赠品,是否启用,备注,创建时间
"10001204","红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-云贵/2026","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:09"
"10001203","红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2026","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:08"
"10001201","红牛维生素功能饮料/普通型/250ML/24/普通箱内码-新疆专供/2026","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:07"
"10001200","红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2026","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:03"
"11000379","战马/310ML/24/罐装/UTMBx联名装","&amp;quot;战马罐装 普通&amp;quot;","&amp;quot;战马罐装 普通&amp;quot;","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:02"
"81000270","国产/芙丝水330ML/24瓶/牛皮纸环保装","","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:00"
"11000356","战马/330ML/24/罐装/含气/菠萝西柚味/广东促销","","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:59"
"11000372","战马/310ML/24/罐装/2026/线下1元乐享","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:58"
"11000371","战马/310ML/24/罐装/2026/线上1元乐享-新包装","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:57"
"11000370","战马/310ML/24/罐装/2026/扫码红包-新包装","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:56"
"81000290","国产/神农明珠天然泉水/350ML/24瓶/无外箱/红动中原牛气冲天联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:56"
"81000258","国产/神农明珠天然泉水/350ML/24瓶/无外箱/北站苗乡","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:54"
"81000225","国产/神农明珠天然泉水/350ML/24瓶/无外箱","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:53"
"81000237","国产/神农明珠天然泉水/5L/4桶装","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:53"
"81000227","国产/神农明珠天然泉水/5L/4桶装/无外箱","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:52"
"81000316","国产/神农明珠天然泉水/500ML/24瓶/无外箱/大角鹿联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:50"
"81000313","国产/神农明珠天然泉水/500ML/24瓶/无外箱/交通银行联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:49"
"81000314","国产/神农明珠天然泉水/500ML/24瓶/无外箱/初雄联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:48"
"81000298","国产/神农明珠天然泉水/500ML/24瓶/无外箱/华彬航空联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:47"
"81000291","国产/神农明珠天然泉水/500ML/24瓶/无外箱/德高防水联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:46"
"81000289","国产/神农明珠天然泉水/500ML/24瓶/无外箱/名仕台球联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:46"
"81000283","国产/神农明珠天然泉水/500ML/24瓶/无外箱/黄石联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:45"
"81000240","国产/神农明珠天然泉水/500ml/24瓶/无外箱","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:45"
"81000310","国产/神农明珠天然泉水/500ML/24瓶/交通银行联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:44"
"81000304","国产/神农明珠天然泉水/500ML/24瓶/德高防水联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:43"
"81000294","国产/神农明珠天然泉水/500ML/24瓶/华彬航空联标","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:34"
"81000224","国产/神农明珠天然泉水/500ML/24瓶","神农明珠","神农明珠","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:33"
"10001193","红牛维生素功能饮料/普通型/250ML/24/新疆专供/2026","红牛普通型","新疆专供","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:33"
"10001191","红牛维生素功能饮料/普通型/250ML/六罐装/31周年","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:32"
"10001187","红牛维生素功能饮料/普通型/250ML/24/广东1元乐享促销/2026","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:32"
"10001186","红牛维生素功能饮料/普通型/250ML/24/广东红包促销/2026","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:31"
"10001185","红牛维生素功能饮料/普通型/250ML/24/31周年/两元纸箱/台州专供一期","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:31"
"10001184","红牛维生素功能饮料/牛磺酸强化型/250ml/24/31周年纪念装","红牛强化型","强化型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:30"
"81000253","国产/芙丝水330ML/24瓶装/YOMA","国产芙丝","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:30"
"81000221","国产/芙丝水500ML/24瓶装/纯享装","国产芙丝","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:29"
"11000359","战马/330ML/24/罐装/含气/夏日柠檬味/广东促销","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:29"
"11000358","战马/330ML/24/罐装/含气/春日白桃味/广东促销","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:28"
"11000357","战马/330ML/24/罐装/含气/夏日浆果味/广东促销","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:28"
"11000353","战马/330ML/24/罐装/含气/夏日柠檬味/常规装","战马罐装
普通","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:27"
"11000352","战马/330ML/24/罐装/含气/春日白桃味/常规装","战马罐装
普通","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:27"
"11000351","战马/330ML/24/罐装/含气/夏日浆果味/常规装","战马罐装
普通","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:26"
"11000350","战马/330ML/24/罐装/含气/菠萝西柚味/常规装","战马罐装
普通","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:26"
"11000349","战马/330ML/24/罐装/含气/蓝莓黑加仑味/常规装","战马罐装
普通","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:25"
"11000348","战马/330ML/24/罐装/含气/青苹果葡萄味/常规装","战马罐装
普通","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:25"
"11000298","战马/180ML/24/罐装/夏黑葡萄味","罐装战马180ML","罐装战马180ML","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:24"
"11000334","战马/310ML/24/罐装/2025/广东扫码红包-新包装","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:24"
"11000322","战马/310ML/24/罐装/2025/广东扫码1元乐享-新包装","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:23"
"11000321","战马/310ML/24/罐装/新包装","罐装战马","战马罐装
普通","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:23"
"10001165","红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码二期/2025","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:22"
"10001164","红牛维生素功能饮料/普通型/250ML/24/30周年广东二期箱内码","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:22"
"10001163","红牛维生素功能饮料/普通型/250ML/24/广东促销2025（含二期箱码）","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:21"
"11000312","战马/310ML/24/罐装/2025/线上1元乐享（含箱码）-新包装","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:21"
"11000283","战马/400ML/15/不含气/2025/1元乐享（线上核销）/二段","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:21"
"11000282","战马/400ML/15/不含气/2025/1元乐享/二段","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:20"
"11000281","战马/400ML/15/不含气/2025/1元乐享（线上核销版）","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:20"
"11000280","战马/400ML/15/不含气/2025/1元乐享","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:19"
"11000304","战马/310ML/24/罐装/2025/线上1元乐享/二段（无箱码）","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:19"
"11000303","战马/310ML/24/罐装/2025/线上1元乐享/二段（含箱码）","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:18"
"11000302","战马/310ML/24/罐装/2025/1元乐享/二段-新疆（含箱码）","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:18"
"11000301","战马/310ML/24/罐装/2025/1元乐享/二段（无箱码）","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:17"
"11000300","战马/310ML/24/罐装/2025/1元乐享/二段（含箱码）","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:17"
"11000273","战马/310ML/24/罐装/2025/线上1元乐享（无箱码）","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:16"
"11000272","战马/310ML/24/罐装/2025/线上1元乐享（含箱码）","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:16"
"11000270","战马/310ML/24/罐装/2025/1元乐享-新疆（含箱码）","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:15"
"11000268","战马/310ML/24/罐装/2025/1元乐享（无箱码）","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:15"
"11000267","战马/310ML/24/罐装/2025/1元乐享（含箱码）","战马罐装促销","战马罐装2025促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:14"
"10001155","红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供二期","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:14"
"10001153","红牛维生素功能饮料/普通型/250ML/24/1元乐享-江西/2025","红牛促销型","江西1元促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:13"
"10001146","红牛维生素功能饮料/普通型/250ML/24/1元乐享-云南贵州/2025","红牛促销型","西南促销","CAR",0.007,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:13"
"10001126","红牛维生素功能饮料/普通型/250ML/24/新疆专供/2025","红牛普通型","新疆专供","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:12"
"10001125","红牛维生素功能饮料/普通型/250ML/24/新疆箱内码专供/2025","红牛促销型","西北促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:12"
"10001124","红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2025","红牛促销型","西北1元促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:11"
"10001104","红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享/2025","红牛促销型","扫码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:10"
"10001119","红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供一期","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:28:10"
"10001118","红牛维生素功能饮料/普通型/250ML/24/30周年/24年广东箱内码三期","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:58"
"10001117","红牛维生素功能饮料/牛磺酸强化型/250ml/24/30周年纪念装","红牛强化型","强化型","CAR",1.000,0.00,"","","",0,"",0,"","否","停用","","2026-05-15 10:25:58"
"10001116","红牛维生素功能饮料/普通型/250ML/六罐装/30周年","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:57"
"10001114","红牛维生素功能饮料/普通型/250ML/24/30周年纪念装","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:57"
"10001105","红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码/2025","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:56"
"10001132","红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2025","红牛促销型","广西1元促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:56"
"10001134","红牛维生素功能饮料/普通型/250ML/24/广东促销/2025","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:55"
"10001129","红牛维生素功能饮料/普通型/250ML/24/广东扫码中红包/2025","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:55"
"10001081","红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码二期/2024","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:54"
"10001060","红牛维生素功能饮料/普通型/250ML/24/1元换购-新疆青海/2024","红牛促销型","西北1元促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:53"
"10001054","红牛维生素功能饮料/普通型/250ML/24/扫码促销-台州2元回收/2024","红牛促销型","扫码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:53"
"10000000","红牛维生素功能饮料/普通型/250ml/24","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:52"
"10000134","红牛维生素功能饮料/普通型/250ml/24","红牛普通型","红牛普通型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:51"
"10001059","红牛维生素功能饮料/普通型/250ML/24/扫码促销-含箱内码/2024","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:50"
"10001058","红牛维生素功能饮料/普通型/250ML/扫码促销/六罐装/2024","红牛六联包","六联包","CAR",0.250,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:50"
"10001057","红牛维生素功能饮料/普通型/250ML/24/扫码促销/2024","红牛促销型","扫码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:48"
"11000234","战马/400ML/15/不含气/2024/1元乐享LPL版","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:48"
"10001056","红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码/2024","红牛促销型","箱内码促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:47"
"11000231","战马/310ML/24/罐装/2024无箱内码/1元乐享-篮球","罐装战马","战马罐装2024促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:47"
"11000230","战马/310ML/24/罐装/2024箱内码/1元乐享-篮球","罐装战马","战马罐装2024促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:46"
"10001053","红牛维生素功能饮料/普通型/250ML/24/广东促销/2024","红牛促销型","广东专属促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:46"
"好智粒1*15","好智粒1*15","","","CAR",0.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:42"
"好智粒1*24","好智粒1*24","","","CAR",0.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:41"
"好智粒1*12","好智粒1*12","","","CAR",0.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:41"
"80000131","进口芙丝天然泉水/24/500ml/Still-蓝瓶","进口芙丝Still","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:40"
"80000114","进口芙丝天然泉水/12/850ml/Still","进口芙丝Still","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:39"
"80000106","进口芙丝苏打水/12/375ml/Sparkling-黄瓜柠檬味","进口芙丝Sparkling","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:39"
"80000103","进口气泡果味水/8罐/355ml/柠檬黄瓜味","进口芙丝气泡果味水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:38"
"80000102","进口气泡果味水/8罐/355ml/草莓生姜味","进口芙丝气泡果味水","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:38"
"80000071","进口芙丝苏打水/12/375ml/Sparkling-青柠薄荷味","进口芙丝Sparkling","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:36"
"80000070","进口芙丝苏打水/12/375ml/Sparkling-柑橘柠檬草味","进口芙丝Sparkling","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:36"
"80000015","进口芙丝天然泉水/24/500ml/Still","进口芙丝Still","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:35"
"80000014","进口芙丝天然泉水/24/330ml/Still","进口芙丝Still","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:35"
"80000013","进口芙丝天然泉水/12/800ml/Still","进口芙丝Still","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:34"
"80000012","进口芙丝天然泉水/24/375ml/Still","进口芙丝Still","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:34"
"80000011","进口芙丝苏打水/12/800ml/Sparkling","进口芙丝Sparkling","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:33"
"80000010","进口芙丝苏打水/24/375ml/Sparkling","进口芙丝Sparkling","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:33"
"81000177","国产/风味饮料/500ML/15瓶/夏黑葡萄味","国产芙丝500ML风味","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:32"
"81000175","国产/风味饮料/500ML/15瓶/黄柠檬青柠","国产芙丝500ML风味","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:31"
"81000172","国产/风味饮料/500ML/15瓶/樱花白桃味","国产芙丝500ML风味","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:31"
"81000204","国产/芙丝水500ML/24瓶装/静安璞隽联标","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:26"
"81000200","国产/芙丝水500ML/24瓶装/沙漠钻石联标","国产芙丝500MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:25"
"81000199","国产/芙丝水330ML/24瓶装/白膜/割箱-厦航专供","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:24"
"81000162","国产/芙丝水375ML/20瓶/玻璃瓶/黑珍珠联名","国产芙丝375ML玻璃瓶","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:24"
"81000152","国产/芙丝水375ML/20瓶装/玻璃瓶","国产芙丝375ML玻璃瓶","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:23"
"81000144","国产/芙丝水375ML/12瓶装/柑橘柠檬草","国产芙丝375MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:23"
"81000122","国产/芙丝水375ML/12瓶装/玻璃瓶","国产芙丝375ML玻璃瓶","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:17"
"81000121","国产/芙丝水375ML/24瓶装/玻璃瓶","国产芙丝375ML玻璃瓶","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:25:17"
