序号,供应商大类,供应商编码,供应商名称,供应商简称,城市,街道,联系人,联系电话,邮件地址,供应商类型,账户组,供应商等级,资质是否临期,状态,创建时间
15,原材料,11000010,河北华荣制药有限公司,河北华荣制药,,河北省邢台市宁晋县盐化工业区纬二路8号, 赵莉莉,18020136711,,内容物,A001,,是,启用,2025-10-11 10:56:20
16,原材料,11000010,江西天新药业,江西天新药业,,景德镇市乐平市工业园,赵莉莉,18020136711,,内容物,A001,,是,启用,2025-10-11 10:54:37
17,原材料,11000010,武汉有机,武汉有机,,武汉化学工业区化工二路1号,赵莉莉,18020136711,,内容物,A001,,是,启用,2025-10-11 10:53:26
18,原材料,11000010,浩天药业有限公司,浩天药业,,潍坊市诸城市辛兴镇府前路68号,赵莉莉,18020136711,,内容物,A001,,是,启用,2025-10-11 10:50:03
19,综合物资,15002350,史泰博（上海）有限公司,史泰博,,长宁区通协路269号5号楼3楼,徐臻罡,8008208056,,办公用品,A004,B,是,启用,2025-09-28 14:09:54
20,服务商,19001098,咸宁欣和家政服务有限公司,欣和家政,,咸安区东门钉丝厂内,董宝梅,18071269811,,维修服务,A008,,是,启用,2025-09-27 15:04:28
21,综合物资,19008440,咸宁宏桥工业气体有限公司,咸宁宏桥,,咸安区贺胜桥镇桃林村一组,周振洪,0715-8873889,,化验耗材,A002,B,是,启用,2025-09-25 20:39:53
22,综合物资,16000153,肇庆科之杰仪器有限公司,科之杰,,端州区黄岗镇泰宁二村村口B幢厂房,苏建安,0758-8522883,,化验耗材,A004,B,是,启用,2025-09-25 20:30:19
23,综合物资,16000883,北京悠然睿智系统技术有限公司,悠然睿智,,海淀区学清路38号B座9层906,刘明,010-64869259,,化验耗材,A004,B,是,启用,2025-09-25 20:19:25
24,综合物资,19000349,中国石油化工股份有限公司湖北咸宁石,石油化工,,咸宁 长安大道 159号,,,,,A004,,是,启用,2025-09-24 13:39:20
25,综合物资,15000025,武汉千喜旗帜工艺有限公司,千喜旗帜,,硚口区汉正街利济南路,,,,,A004,,是,启用,2025-09-24 13:39:20
26,综合物资,14000573,温州简之包装科技有限公司,温州简之包装科技有限,,浙江省温州市龙港市龙南社区吴兰楼254号,,,,,A004,,是,启用,2025-09-24 13:39:20
27,综合物资,14000572,广东黄金谷珠宝有限公司,广东黄金谷珠宝有限公,,广东省东莞市清溪镇清溪北环路301号1栋101室,,,,,A004,,是,启用,2025-09-24 13:39:20
28,综合物资,14000555,武汉欣申试化工科技有限公司,欣申试,,武昌区中南路街丁字桥路90号5层1号、7层、8层1室,钱琼,027-87314198,,化验耗材,A004,B,是,启用,2025-09-24 13:39:20
29,综合物资,14000545,咸宁万隆商贸有限公司,万隆商贸,,咸安区鱼水路新州花园2幢301号,黄绪德,0715-8328182,,"劳保用品,办公用品",A004,B,是,启用,2025-09-24 13:39:20
30,综合物资,14000541,武汉忐健贸易有限公司,武汉忐健,,硚口区利北二村（祥和公寓8号楼13层8室）,黄勇芳,027-83351776,,化验耗材,A004,B,是,启用,2025-09-24 13:39:20
31,服务商,14000525,国网湖北省电力有限公司,国网,,,,,,,A004,,是,启用,2025-09-24 13:39:20
32,综合物资,14000461,咸宁市同欣堂大药房,同欣堂,,温泉马柏大道16-2号,葛志明,18671500567,,劳保用品,A004,B,是,启用,2025-09-24 13:39:20
33,服务商,14000430,北京京东世纪贸易有限公司,北京京东世纪贸易有限,,北京市北京经济技术开发区科创十一街,,,,,A004,,是,启用,2025-09-24 13:39:20
34,综合物资,14000418,武汉斯瑞博科技有限公司,斯瑞博,,东湖新技术开发区茅店村博瀚科技光电子信息产业基地4幢308,闵成,13986194300,,化验耗材,A004,B,是,启用,2025-09-24 13:39:20
35,综合物资,14000376,武汉京东金德贸易有限公司,京东金德,,,,,,办公用品,A004,B,是,启用,2025-09-24 13:39:20
36,综合物资,14000321,湖北佳宏美标识有限公司,湖北佳宏美,,4号 武汉市武昌区井岗山村凯旋名邸11幢13层,,,,,A004,,是,启用,2025-09-24 13:39:20
37,服务商,14000308,湖北省安泰安全技术有限公司,湖北安泰,,咸宁市贺胜路87号,,,,外检,A004,,是,启用,2025-09-24 13:39:20
38,备件,14000306,咸宁市佳兴机电设备有限公司,佳兴机电,,咸宁市工业园孵化园十九栋19号,张希兰,0715-8337481,,"备件,劳保用品",A004,B,是,启用,2025-09-24 13:39:20
39,服务商,14000301,湖北星河商贸有限公司,星河商贸,,咸安区浮山办事处大畈村二组（金贵路49号）,,,,工程,A004,,是,启用,2025-09-24 13:39:20
40,服务商,14000295,湖北华生市政工程有限责任公司,华生市政,,咸宁市银泉大道675-2号,,,,工程,A004,,是,启用,2025-09-24 13:39:20
41,综合物资,14000288,拜发分析系统销售（北京）有限公司,拜发分析,,海淀区学清路38号B座9层906,刘明,010-64869259,,化验耗材,A004,B,是,启用,2025-09-24 13:39:20
42,综合物资,14000269,咸宁市龙盛安防科技有限公司,龙盛安防,,温泉双鹤路5号,雷扬,0715-8148848,,办公用品,A004,B,是,启用,2025-09-24 13:39:20
43,服务商,14000263,咸宁市永胜贸易有限公司,永胜贸易,,咸宁经济开发区长江产业园,,,,工程,A004,,是,启用,2025-09-24 13:39:20
44,综合物资,14000232,咸宁市振宇包装材料有限公司,振宇包装,,咸安区咸宝路199号,沈锋,0715-8322874,,辅料,A004,B,是,启用,2025-09-24 13:39:20
45,服务商,14000223,武汉市宇翔纺织品有限公司,宇翔纺织,,硚口区仁寿路146号,,,,工程,A004,,是,启用,2025-09-24 13:39:20
46,服务商,14000222,咸宁市玖安消防器材经营部,玖安消防,,温泉银泉大道623-1号,,,,安防,A004,,是,启用,2025-09-24 13:39:20
47,综合物资,14000221,武汉易瑞德标识设备有限公司,易瑞德标识,,武汉经济技术开发区车城南路83号,曹霞,027-84232690,,辅料,A004,B,是,启用,2025-09-24 13:39:20
48,服务商,14000220,武汉世纪恒盛仓储设备有限公司,恒盛仓储,,江岸区黄浦路312,,,,资产,A004,,是,启用,2025-09-24 13:39:20
49,服务商,14000215,咸宁市堃鸿商贸有限公司,堃鸿商贸,,,,,,工程,A004,,是,启用,2025-09-24 13:39:20
50,综合物资,14000211,武汉市富宏针织服饰有限公司,富宏针织,,,,,,,A004,,是,启用,2025-09-24 13:39:20
51,综合物资,14000210,咸宁市文博兴商贸有限公司,文博兴,,温泉马柏大道35号商铺A幢1单元101号,胡洋,0718-8133612,,"劳保用品,办公用品",A004,B,是,启用,2025-09-24 13:39:20
52,综合物资,14000198,咸安区楚南艺社,楚南艺社,,永安南山传输局门店,,,,,A004,,是,启用,2025-09-24 13:39:20
53,综合物资,14000190,武汉市安迪制衣有限责任公司,安迪制衣,,,,,,,A004,,是,启用,2025-09-24 13:39:20
54,服务商,14000185,范仕雄,范仕雄,,,,,,,A004,,是,启用,2025-09-24 13:39:20
55,服务商,14000178,朋旺超市,朋旺超市,,咸安区金桂路,,,,,A004,,是,启用,2025-09-24 13:39:20
56,综合物资,14000177,广州赛固鞋业有限公司,赛固鞋业,,天河区燕岭路25-27号418房,,,,,A004,,是,启用,2025-09-24 13:39:20
57,备件,14000176,武汉嘉斐特种润滑剂有限公司,嘉斐特种,,吴家山台商投资区高桥产业园台中大道特1号（3）,朱飘,027-83630176,,备件,A004,B,是,启用,2025-09-24 13:39:20
58,服务商,14000155,中国石油天然气股份有限公司湖北咸宁销售分公司,中国石油,,咸宁 温泉淦河大道72号,,,,,A004,,是,启用,2025-09-24 13:39:20
59,综合物资,14000151,北京今日天鸿医疗器械制造有限公司,今日天鸿,,大兴区庞各庄镇定福庄福裕路2号,,,,,A004,,是,启用,2025-09-24 13:39:20
60,综合物资,14000150,咸宁市辰星工贸有限公司,辰星工贸,,咸宁 温泉潜山路,,,,,A004,,是,启用,2025-09-24 13:39:20
61,综合物资,14000141,湖北美尔雅销售有限公司,美尔雅,,,,,,,A004,,是,启用,2025-09-24 13:39:20
62,综合物资,14000127,朱锦春,花卉,,桂花西路50号,,,,,A004,,是,启用,2025-09-24 13:39:20
63,服务商,14000126,周洁,保洁,,咸宁市温泉桂花西路85号,,,,,A004,,是,启用,2025-09-24 13:39:20
64,综合物资,14000125,武汉金海源服饰有限公司,金海源,,江岸区开明路5号金冠大厦515室,,,,,A004,,是,启用,2025-09-24 13:39:20
65,综合物资,14000116,咸安区东林消防器材销售中心,东林消防,,咸宁市咸安区怀德路,,,,,A004,,是,启用,2025-09-24 13:39:20
66,综合物资,14000115,东莞市山水乐人服饰有限公司,山水乐人,,东城区峡口沙岭西路15号,,,,,A004,,是,启用,2025-09-24 13:39:20
67,服务商,14000111,咸宁市林业科学研究所,林业科学,,温泉滨河西路9号,,,,,A004,,是,启用,2025-09-24 13:39:20
68,综合物资,14000110,温泉王子蛋糕店,王子蛋糕,,淦河大道温泉镇幼儿园门面,,,,,A004,,是,启用,2025-09-24 13:39:20
69,综合物资,14000105,咸宁市鄂南新华印务有限公司,鄂南新华,,咸宁市长安大道116号,,,,,A004,,是,启用,2025-09-24 13:39:20
70,综合物资,14000100,武汉凤鸣工贸有限公司,凤鸣工贸,,武昌区徐东路7号徐东欧洲花园5栋2单元801室,李雁,027－82211839,,办公用品,A004,B,是,启用,2025-09-24 13:39:20
71,综合物资,14000096,武汉市恒隆服饰有限责任公司,恒隆,,江岸区云林街#71号1单元3层1室,,,,,A004,,是,启用,2025-09-24 13:39:20
72,综合物资,14000095,罗莎蛋糕店,罗莎,,开发区温泉路#70号,,,,,A004,,是,启用,2025-09-24 13:39:20
73,综合物资,14000090,咸宁市锐智电脑有限责任公司,锐智,,咸宁市温泉路80-11-13号,,,,,A004,,是,启用,2025-09-24 13:39:20
74,服务商,14000088,武汉市欣泰科技发展有限公司,欣泰,,洪山区珞狮北路80号瑞景华庭2305号,,,,,A004,,是,启用,2025-09-24 13:39:20
75,综合物资,14000087,武汉市武昌华泰文化办公用品有限公司,华泰,,武昌区民主路54号,,,,,A004,,是,启用,2025-09-24 13:39:20
76,综合物资,14000086,咸宁市学子文化商贸有限公司,学子文化,,咸宁大道,,,,,A004,,是,启用,2025-09-24 13:39:20
77,综合物资,14000085,军品服务社,军品,,温泉军分区门面,,,,,A004,,是,启用,2025-09-24 13:39:20
78,综合物资,14000080,鸿龙家具店,鸿龙家具,,温泉大商城,,,,,A004,,是,启用,2025-09-24 13:39:20
79,综合物资,14000079,咸宁市昌禄印务有限公司,昌禄印务,,咸安区巨宁大道209号,,,,,A004,,是,启用,2025-09-24 13:39:20
80,,14000078,百老汇窗帘大世界,百老汇,,温泉开发区汽运大楼二楼,,,,,A004,,是,启用,2025-09-24 13:39:20
81,,14000077,百老汇窗帘大世界,百老汇,,温泉开发区汽运大楼二楼,,,,,A004,,是,启用,2025-09-24 13:39:20
82,综合物资,14000076,咸宁中石油昆仑燃气有限公司,中石油,,温泉希望巷,,,,,A004,,是,启用,2025-09-24 13:39:20
83,备件,14000067,北京华昱向扬空压机有限公司,华昱向扬,,怀柔区北房镇经纬工业区幸福西街3号206室,李海荣,010-64801079,,备件,A003,B,是,启用,2025-09-24 13:39:20
84,综合物资,14000066,咸宁市咸安区深金源塑料制品有限公司,深金源,,永安周家恼工业园,,,,,A004,,是,启用,2025-09-24 13:39:20
85,综合物资,14000064,湖北力达机电有限公司,力达机电,,,,,,,A004,,是,启用,2025-09-24 13:39:20
86,服务商,14000062,湖北胜宇工业设备安装工程有限公司,胜宇工业,,,,,,工程,A004,,是,启用,2025-09-24 13:39:20
87,服务商,14000061,武汉市燃气热力规划设计院,燃气热力,,,,,,工程,A004,,是,启用,2025-09-24 13:39:20
88,服务商,14000060,咸宁供电公司用电报装办公室,咸宁供电,,,,,,,A004,,是,启用,2025-09-24 13:39:20
89,服务商,14000059,咸宁市兆丰电业有限责任公司,兆丰电业,,,,,,,A004,,是,启用,2025-09-24 13:39:20
90,综合物资,14000058,北京亚联兴业包装机械有限公司,北京亚联,,北京市丰台区丰管路,,,,,A004,,是,启用,2025-09-24 13:39:20
91,综合物资,14000057,苏州德华机械设备有限公司,苏州德华,,苏州新区台商科技工业园,,,,,A004,,是,启用,2025-09-24 13:39:20
92,综合物资,14000056,斯派莎克工程（中国）有限公司,斯派莎克,,上海市桂箐路,,,,,A004,,是,启用,2025-09-24 13:39:20
93,综合物资,14000055,北京虹原特富科技发展有限公司,北京虹原,,北京市东城区民旺园,,,,,A004,,是,启用,2025-09-24 13:39:20
94,综合物资,14000054,广东嘉仪仪器集团有限公司,嘉仪,,肇庆市建设二路,,,,,A004,,是,启用,2025-09-24 13:39:20
95,综合物资,14000053,天津市第二光学仪器厂,天津第二光,,天津市哈尔滨路,,,,,A004,,是,启用,2025-09-24 13:39:20
96,综合物资,14000052,广州依通仪器设备有限公司武汉办,依通武汉办,,广州市天和区中山大道,,,,,A004,,是,启用,2025-09-24 13:39:20
97,综合物资,14000050,艺康化工有限公司,艺康,,闵行经济技术开发区红河路,,,,,A004,,是,启用,2025-09-24 13:39:20
98,综合物资,14000049,咸宁市咸安区飞鸿装卸服务部,飞鸿装卸,,,,,,,A004,,是,启用,2025-09-24 13:39:20
99,综合物资,14000048,武汉中原仓储设备有限公司,中原仓储,,,,,,,A004,,是,启用,2025-09-24 13:39:20
100,综合物资,14000047,武汉世城职业服饰有限责任公司,世城服饰,,江岸区解放公园路,,,,,A004,,是,启用,2025-09-24 13:39:20
101,综合物资,14000046,咸宁市温泉开发区欧亚名店,欧亚名店,,温泉花坛购物中心,,,,,A004,,是,启用,2025-09-24 13:39:20
102,综合物资,14000045,北京宏博基业科技发展有限公司,宏博基业,,海淀区芙蓉里南街6号院,,,,,A004,,是,启用,2025-09-24 13:39:20
103,综合物资,14000044,武汉永盛科技有限公司,永盛科技,,硚口区古田二路,,,,,A004,,是,启用,2025-09-24 13:39:20
104,综合物资,14000043,咸宁市光阳庆典礼仪有限责任公司,光阳,,温泉台属小区,,,,,A004,,是,启用,2025-09-24 13:39:20
105,综合物资,14000042,咸宁市朗讯电脑有限责任公司,朗讯,,温泉路,,,,,A004,,是,启用,2025-09-24 13:39:20
106,综合物资,14000041,通山县永通贸易有限责任公司,永通,,通羊镇南市路,,,,,A004,,是,启用,2025-09-24 13:39:20
107,服务商,14000040,武汉市昌龙视听系统工程有限公司,昌龙,,江汉区前进四路,,,,,A004,,是,启用,2025-09-24 13:39:20
108,服务商,14000039,楚南艺社广告装饰有限责任公司,楚南艺社,,咸安区渔水路,,,,,A004,,是,启用,2025-09-24 13:39:20
109,综合物资,14000038,星星科技印刷厂,星星,,温泉开发区泉塘村,,,,,A004,,是,启用,2025-09-24 13:39:20
110,服务商,14000037,武汉和新服饰有限公司,和新,,江岸区南京路,,,,,A004,,是,启用,2025-09-24 13:39:20
111,综合物资,14000036,咸宁市堃龙商贸有限公司,堃龙,,温泉体育路35号,周红梅,0715-8271499,,劳保用品,A004,B,是,启用,2025-09-24 13:39:20
112,服务商,14000035,咸宁胡氏双龙文化商贸有限公司,双龙文化,,淦河大道,,,,,A004,,是,启用,2025-09-24 13:39:20
113,服务商,13000030,武汉理工检测仪器有限公司,理工检测,,武昌区姚家岭,,,,,A004,,是,启用,2025-09-24 13:39:20
114,原材料, 11000046,龙口奥瑞金包装有限公司,龙口奥瑞金,,龙口市南山东海工业园,吴存根,69558,,"彩印铁,顶盖/底盖",A001,,是,启用,2025-09-17 16:18:03
115,原材料,11000010,津药药业股份有限公司,天津津药药业,,天津开发区西区新业九街19号,赵莉莉,18020136711,,内容物,A001,,是,启用,2025-09-10 17:22:59
116,原材料,11000010,日照金禾博源生化有限公司,日照金禾博源,,日照市莒县经济开发区莱阳路209号, 赵莉莉,18020136711,,内容物,A001,,是,启用,2025-09-10 17:19:11
117,原材料,11000010,潜江永安药业股份有限公司,潜江永安药业,,潜江经济开发区广泽大道2号,赵莉莉,18020136711,,内容物,A001,,是,启用,2025-09-10 17:17:54
118,综合物资,12000191,咸宁市琪运隆工业材料有限公司,琪运隆,,咸安区汀泗桥镇古塘角村尖山十一组2号-1 ,谢琴,0715-8323599,,辅料,A002,B,是,启用,2025-09-10 17:06:51
119,综合物资,12000185,武汉金石化工有限公司,武汉金石,,东西湖区金银潭宏图路38号,孙涛,027-83517390,,辅料,A002,B,是,启用,2025-09-10 17:06:51
120,综合物资,12000176,上海康跃化工科技有限公司,康跃化工,,漕河泾开发区松江高科技园莘砖公路518号23幢502室-138,杨轩,021-64325685,,辅料,A002,B,否,启用,2025-09-10 17:06:51
121,综合物资,12000171,湖北浠水蓝天联合气体有限公司,浠水蓝天,,浠水经济开发区洪山工业园区,陈飞,0713-4243652,,辅料,A002,B,否,启用,2025-09-10 17:06:51
122,综合物资,12000165,咸宁市恒通危险品运输有限公司,恒通运输,,咸宁温泉贺胜路158号（咸安区阳霞加油站）,,,,辅料,A002,,是,启用,2025-09-10 17:06:51
123,综合物资,12000151,山东力扬塑业有限公司,山东力扬,,临沂市河东区民营工业园,,,,资产,A002,,是,启用,2025-09-10 17:06:51
124,综合物资,12000140,咸宁市咸安区宝阳棉制品有限责任公司,宝阳棉制品,,咸安区马桥镇严洲村四组,徐晓婷,13907241281,,辅料,A002,B,是,启用,2025-09-10 17:06:51
125,综合物资,12000127,中国石化销售股份有限公司湖北咸宁石油分公司,中石化石油,,咸宁市长安大道159号,,,,辅料,A002,B,是,启用,2025-09-10 17:06:51
126,综合物资,12000045,山东兆冠药业有限公司,山东兆冠,,临朐县城秦池路38号,张曼,0536-3212680,,辅料,A002,B,是,启用,2025-09-10 17:06:51
127,服务商,12000036,北京赛腾标识系统股份公司,赛腾工业,,,,,,维修服务,A002,,是,启用,2025-09-10 17:06:51
128,综合物资,12000025,武汉森立热工设备工程有限公司,森立热工,,武汉市洪山区雄楚大道136号,,,,工程,A002,,是,启用,2025-09-10 17:06:51
129,综合物资,12000021,杭州之江水处理设备有限公司,江水处理,,杭州莫干山路,,,,工程,A002,,是,启用,2025-09-10 17:06:51
130,备件,12000011,天津市普特起重设备有限公司,天津普特,,,,,,工程,A002,,是,启用,2025-09-10 17:06:51
131,服务商,19000381,咸宁市城南给水工程安装队,咸宁市城南,,咸宁体育路,,,,工程,A003,,是,启用,2025-09-09 13:39:07
132,服务商,19000320,北京普兰普系统技术有限公司,8001,,,,,,外检,A003,,是,启用,2025-09-09 13:39:07
133,备件,13000598,天长市天元泵阀有限公司,天元泵阀,,天康大道9号,陶恒之,0550-7301715,,备件,A003,B,是,启用,2025-09-09 13:39:07
134,备件,13000588,湖北省埃尼柏机械设备有限公司,埃尼柏,,长江新区智能制造产业园五一大道9号中电光谷智造中心C10-2栋,施翠平,027-59268018,,备件,A003,B,是,启用,2025-09-09 13:39:07
135,服务商,13000582,西安振森智能科技有限公司,西安振森,,,,,,工程,A003,,是,启用,2025-09-09 13:39:07
136,服务商,13000581,武汉鑫嘉盟自控系统有限公司,鑫嘉盟,,,,,,工程,A003,,是,启用,2025-09-09 13:39:07
137,服务商,13000576,北京域弘致远科技有限公司,域弘致远,,,,,,维修服务,A003,,是,启用,2025-09-09 13:39:07
138,备件,13000572,武汉米斯比科技有限公司,武汉米斯比,,东西湖区吴家山二雅路67号,毕芬辉,027－83943611,,备件,A003,B,是,启用,2025-09-09 13:39:07
139,备件,13000566,乐清市金瑞丰不锈钢有限公司,金瑞丰,,乐清市经济开发区纬十八路261号,陈佩玲,0577-61601020,,备件,A003,B,是,启用,2025-09-09 13:39:07
140,备件,13000510,武汉森杰机电设备有限公司,武汉森杰,,东湖高新区光谷大道3号未来之光6幢1304室,曾聪,027-86658115,,备件,A003,B,是,启用,2025-09-09 13:39:07
141,备件,13000501,瑞迩利世自动化设备（南京）有限公司,瑞迩利世,,溧水经济开发区汇智产业园科创大厦A座6楼6302室,代双,18301205128,,备件,A003,B,是,启用,2025-09-09 13:39:07
142,备件,13000481,茂硕（武汉）机电工程设备有限公司,茂硕机电,,洪山区北港村丁字桥南路三元时代广场1单元17层3室,朱华丽,027-59224400,,备件,A003,B,是,启用,2025-09-09 13:39:07
143,服务商,13000470,咸宁市华明商贸有限公司,华明商贸,,,,,,工程,A003,,是,启用,2025-09-09 13:39:07
144,服务商,13000467,湖北桂乡建筑安装工程有限责任公司,桂乡建筑,,,,,,工程,A003,,是,启用,2025-09-09 13:39:07
145,备件,13000465,上海通卜实业有限公司,上海通卜,,青浦区天辰路2801-2809号5幢3层Q区317室,罗培,021-32097822,,备件,A003,B,是,启用,2025-09-09 13:39:07
146,服务商,13000432,武汉中天晟达信息技术有限公司,中天晟达,,,,,,安防,A003,,是,启用,2025-09-09 13:39:07
147,备件,13000386,南京富尔康商贸有限公司,富尔康,,溧水县永阳镇秦淮缘小区7幢106号,廖斌斌,025-57203658,,备件,A003,B,是,启用,2025-09-09 13:39:07
148,备件,13000374,湖北良基冷却设备有限公司,湖北良基,,武汉市汉口建设大道562号国贸新都17楼CD座,涂仁杰 ,027-85491211,,备件,A003,B,是,启用,2025-09-09 13:39:07
149,备件,13000334,武汉铂世自动化设备有限公司,武汉铂世,,东西湖区台南一道南、高桥四路东（3）,程静,0715-8117179,,备件,A003,B,是,启用,2025-09-09 13:39:07
150,备件,13000320,广州达意隆包装机械股份有限公司,达意隆,,广州市萝岗区云埔一路23号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
151,备件,13000315,佛山佰思诺机电有限公司,佰思诺机电,,佛山市南海区大沥镇九龙小商品批发城B6座302号房,,,,工程,A003,,是,启用,2025-09-09 13:39:07
152,服务商,13000306,咸安区华容机械厂,华容机械,,咸安区浮山村二组71号,,,,维修服务,A003,,是,启用,2025-09-09 13:39:07
153,服务商,13000300,北京狮岛消防电子有限公司,狮岛消防,,北京经济技术开发区兴盛街甲15号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
154,服务商,13000297,湖北有为自控设备工程有限公司,有为自控,,武昌区螃蟹甲2008新长江广场B座2606室,,,,工程,A003,,是,启用,2025-09-09 13:39:07
155,服务商,13000295,广州市海珠区新永利刀具厂,新永利刀具,,海珠区南洲路大沙村117号之8自编A1房,,,,维修服务,A003,,是,启用,2025-09-09 13:39:07
156,备件,13000286,北京盛益利鑫科技有限公司,盛益利鑫,,北京经济技术开发区景园北街2号BDA企业大道61幢8层805,侯鹏,010-87220628,,备件,A003,B,是,启用,2025-09-09 13:39:07
157,服务商,13000285,武汉市洪峰平均电气有限公司,洪峰平均电气,,江汉区江汉一路19号紫晶城720号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
158,备件,13000273,北京永创通达机械设备有限公司,永创通达,,大兴区榆垡镇通和街3号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
159,备件,13000271,基恩士（中国）有限公司,基恩士中国,,外高桥保税区基隆路1号1206室,,,,工程,A003,,是,启用,2025-09-09 13:39:07
160,备件,13000263,武汉瀚东工业设备有限公司,瀚东设备,,东西湖区走马岭桥头街99,,,,工程,A003,,是,启用,2025-09-09 13:39:07
161,备件,13000261,咸宁市立兴商贸有限公司,立兴商贸,,咸安区官埠桥镇渡船村（五金机电大市场）33幢118号,黄立云,0715-8055111,,"备件,劳保用品",A003,B,是,启用,2025-09-09 13:39:07
162,服务商,13000250,咸宁市长进钢结构有限公司,长进钢结构,,,,,,工程,A003,,是,启用,2025-09-09 13:39:07
163,服务商,13000245,上海西古自动化设备有限公司,西古自动化,,闵行区华宁路4018弄58号14号楼205室1497号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
164,服务商,13000244,武汉港智厨房设备有限公司,港智厨房,,黄陂区汉施路39,,,,工程,A003,,是,启用,2025-09-09 13:39:07
165,备件,13000242,上海沃迪智能装备股份有限公司,上海沃迪,,金山区亭卫公路5899号,代乙锋,021-37901188,,备件,A003,B,是,启用,2025-09-09 13:39:07
166,备件,13000235,武汉鑫众普机电工程有限公司,鑫众普,,武昌区首义新村44栋新景观大厦15A层12号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
167,服务商,13000231,上海昂睿实业有限公司,昂睿,,,,,,工程,A003,,是,启用,2025-09-09 13:39:07
168,服务商,13000216,武汉凯普森自动化设备有限公司,凯普森,,江汉区前进四路121,,,,工程,A003,,是,启用,2025-09-09 13:39:07
169,服务商,13000212,武汉市鑫益佳自动化有限公司,鑫益佳,,东湖开发区鲁巷星光无限2幢302,,,,工程,A003,,是,启用,2025-09-09 13:39:07
170,服务商,13000211,北京迪优博贸易有限公司,迪优博,,怀柔区宝山镇道德坑村300,,,,资产,A003,,是,启用,2025-09-09 13:39:07
171,备件,13000203,武汉艾克斯勒机电设备有限责任公司,艾克斯勒,,东湖开发区鲁磨路198,恽启元,027-84670809,,备件,A003,B,是,启用,2025-09-09 13:39:07
172,备件,13000195,广州市乐佰得喷涂设备有限公司,乐佰得,,番禺区番禺大道555号番禺节能科技园内天安科技产业大厦1座204,李学伦,020-39211716,,备件,A003,B,是,启用,2025-09-09 13:39:07
173,服务商,13000191,咸宁温泉防水材料服务中心,温泉防水,,温泉淦河大道,,,,工程,A003,,是,启用,2025-09-09 13:39:07
174,备件,13000170,衡水明鑫橡塑机械配件有限公司,衡水明鑫,,景县西工业区,刘晓峰,0318-4222018,,备件,A003,B,是,启用,2025-09-09 13:39:07
175,备件,13000166,武汉市昌电环保设备有限公司,昌电环保,,武昌区中南一路三号1栋15层1号,,,,工程,A003,,是,启用,2025-09-09 13:39:07
176,综合物资,13000160,苏州市创洁净化设备有限公司,苏州创洁,,苏站路418号316室,吴伟明,0512－67486819,,化验耗材,A004,B,是,启用,2025-09-09 13:39:07
