序号,物料编码,商品名称,启/禁状态,单位重量(吨/箱),物料单位,单位货值(元/箱),纸箱价格(元/张),外包装箱价格,是否促销物料,是否箱内码促销,是否消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止,创建时间
11,11000401,战马/330ML/24/罐装/含气/夏日柠檬味/扫码红包2026,启用,0.00001,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,8,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:28
12,11000400,战马/330ML/24/罐装/含气/春日白桃味/扫码红包2026,启用,0.00001,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,8,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:28
13,11000399,战马/330ML/24/罐装/含气/夏日浆果味/扫码红包2026,启用,0.00001,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,8,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:27
14,11000398,战马/330ML/24/罐装/含气/菠萝西柚味/扫码红包2026,启用,0.00001,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,8,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:27
15,11000396,战马/330ML/24/罐装/含气/蓝莓黑加仑味/扫码红包2026,启用,0.00001,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,8,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:26
16,11000391,战马/330ML/24/罐装/含气/青苹果葡萄味/扫码红包2026,启用,0.00001,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,8,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:26
17,81000285,国产/芙丝水330ML/24瓶装/京东专供,启用,0.00001,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝330MLPET,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:25
18,81000197,国产/芙丝水375ML/20瓶/玻璃瓶/芙丝苏打水饮料（含气型）,启用,0.00001,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝375ML玻璃瓶,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:24
19,11000384,战马/310ML/24/罐装/2026/新包装线下1元乐享,启用,0.00001,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:23
20,11000376,战马/400ML/15/不含气/2026/1元乐享,启用,0.00001,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,3,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:22
21,10001198,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-闽苏沪/2026,启用,,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:22
22,10001204,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-云贵/2026,启用,,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:21
23,10001203,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2026,启用,,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:20
24,10001201,红牛维生素功能饮料/普通型/250ML/24/普通箱内码-新疆专供/2026,启用,,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:19
25,10001200,红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2026,启用,,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:15
26,11000379,战马/310ML/24/罐装/UTMBx联名装,启用,0.00001,CAR,,,0.00,否,否,否,否,&amp;quot;战马罐装 普通&amp;quot;,,否,否,,,,,否,,,,1.000,罐装战马,&amp;quot;战马罐装 普通&amp;quot;,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:14
27,81000270,国产/芙丝水330ML/24瓶/牛皮纸环保装,启用,0.00001,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:12
28,11000356,战马/330ML/24/罐装/含气/菠萝西柚味/广东促销,启用,0.00001,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,罐装战马,,8,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:11
29,11000372,战马/310ML/24/罐装/2026/线下1元乐享,启用,,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:10
30,11000371,战马/310ML/24/罐装/2026/线上1元乐享-新包装,启用,,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:09
31,11000370,战马/310ML/24/罐装/2026/扫码红包-新包装,启用,0.00001,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:08
32,81000290,国产/神农明珠天然泉水/350ML/24瓶/无外箱/红动中原牛气冲天联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:08
33,81000258,国产/神农明珠天然泉水/350ML/24瓶/无外箱/北站苗乡,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:06
34,81000225,国产/神农明珠天然泉水/350ML/24瓶/无外箱,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:05
35,81000237,国产/神农明珠天然泉水/5L/4桶装,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:05
36,81000227,国产/神农明珠天然泉水/5L/4桶装/无外箱,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:04
37,81000316,国产/神农明珠天然泉水/500ML/24瓶/无外箱/大角鹿联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:02
38,81000313,国产/神农明珠天然泉水/500ML/24瓶/无外箱/交通银行联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:01
39,81000314,国产/神农明珠天然泉水/500ML/24瓶/无外箱/初雄联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:00
40,81000298,国产/神农明珠天然泉水/500ML/24瓶/无外箱/华彬航空联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:59
41,81000291,国产/神农明珠天然泉水/500ML/24瓶/无外箱/德高防水联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:58
42,81000289,国产/神农明珠天然泉水/500ML/24瓶/无外箱/名仕台球联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:58
43,81000283,国产/神农明珠天然泉水/500ML/24瓶/无外箱/黄石联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:57
44,81000240,国产/神农明珠天然泉水/500ml/24瓶/无外箱,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,7,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:57
45,81000310,国产/神农明珠天然泉水/500ML/24瓶/交通银行联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:56
46,81000304,国产/神农明珠天然泉水/500ML/24瓶/德高防水联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:55
47,81000294,国产/神农明珠天然泉水/500ML/24瓶/华彬航空联标,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:46
48,81000224,国产/神农明珠天然泉水/500ML/24瓶,启用,,CAR,,,0.00,否,否,否,否,神农明珠,,否,否,,,,,否,,,,1.000,神农明珠,神农明珠,7,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:45
49,10001193,红牛维生素功能饮料/普通型/250ML/24/新疆专供/2026,启用,0.00740,CAR,112.80,2.15,0.00,否,否,否,否,新疆专供,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:45
50,10001191,红牛维生素功能饮料/普通型/250ML/六罐装/31周年,启用,0.00185,CAR,28.20,1.66,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:44
51,10001187,红牛维生素功能饮料/普通型/250ML/24/广东1元乐享促销/2026,启用,0.00740,CAR,112.80,2.15,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:44
52,10001186,红牛维生素功能饮料/普通型/250ML/24/广东红包促销/2026,启用,0.00740,CAR,112.80,2.15,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:43
53,10001185,红牛维生素功能饮料/普通型/250ML/24/31周年/两元纸箱/台州专供一期,启用,0.00740,CAR,112.80,2.15,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:43
54,10001184,红牛维生素功能饮料/牛磺酸强化型/250ml/24/31周年纪念装,启用,0.00740,CAR,120.00,2.15,0.00,否,否,否,否,强化型,,否,否,,,,,否,,,,1.000,红牛,红牛强化型,2,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:42
55,81000253,国产/芙丝水330ML/24瓶装/YOMA,启用,0.00001,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:42
56,81000221,国产/芙丝水500ML/24瓶装/纯享装,启用,0.00001,CAR,,,0.00,否,否,否,否,,,否,否,,,,,否,,,,1.000,国产芙丝,国产芙丝,5,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:41
57,11000359,战马/330ML/24/罐装/含气/夏日柠檬味/广东促销,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:41
58,11000358,战马/330ML/24/罐装/含气/春日白桃味/广东促销,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:40
59,11000357,战马/330ML/24/罐装/含气/夏日浆果味/广东促销,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:40
60,11000353,战马/330ML/24/罐装/含气/夏日柠檬味/常规装,启用,,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,"战马罐装
普通",4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:39
61,11000352,战马/330ML/24/罐装/含气/春日白桃味/常规装,启用,,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,"战马罐装
普通",4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:39
62,11000351,战马/330ML/24/罐装/含气/夏日浆果味/常规装,启用,,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,"战马罐装
普通",4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:38
63,11000350,战马/330ML/24/罐装/含气/菠萝西柚味/常规装,启用,,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,"战马罐装
普通",4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:38
64,11000349,战马/330ML/24/罐装/含气/蓝莓黑加仑味/常规装,启用,,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,"战马罐装
普通",4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:37
65,11000348,战马/330ML/24/罐装/含气/青苹果葡萄味/常规装,启用,,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,罐装战马,"战马罐装
普通",4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:37
66,11000298,战马/180ML/24/罐装/夏黑葡萄味,启用,,CAR,,,0.00,否,否,否,否,罐装战马180ML,,否,否,,,,,否,,,,1.000,战马,罐装战马180ML,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:36
67,11000334,战马/310ML/24/罐装/2025/广东扫码红包-新包装,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:36
68,11000322,战马/310ML/24/罐装/2025/广东扫码1元乐享-新包装,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:35
69,11000321,战马/310ML/24/罐装/新包装,启用,,CAR,,,0.00,否,否,否,否,"战马罐装
普通",,否,否,,,,,否,,,,1.000,战马,罐装战马,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:35
70,10001165,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码二期/2025,启用,,CAR,,,0.00,否,否,否,否,箱内码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:34
71,10001164,红牛维生素功能饮料/普通型/250ML/24/30周年广东二期箱内码,启用,,CAR,,,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:34
72,10001163,红牛维生素功能饮料/普通型/250ML/24/广东促销2025（含二期箱码）,启用,,CAR,,,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:33
73,11000312,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）-新包装,启用,0.00001,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:33
74,11000283,战马/400ML/15/不含气/2025/1元乐享（线上核销）/二段,启用,,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:32
75,11000282,战马/400ML/15/不含气/2025/1元乐享/二段,启用,,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,3,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:32
76,11000281,战马/400ML/15/不含气/2025/1元乐享（线上核销版）,启用,,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:32
77,11000280,战马/400ML/15/不含气/2025/1元乐享,启用,,CAR,,,0.00,否,否,否,否,瓶装战马,,否,否,,,,,否,,,,1.000,瓶装战马,瓶装战马不含气,3,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:31
78,11000304,战马/310ML/24/罐装/2025/线上1元乐享/二段（无箱码）,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:31
79,11000303,战马/310ML/24/罐装/2025/线上1元乐享/二段（含箱码）,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:30
80,11000302,战马/310ML/24/罐装/2025/1元乐享/二段-新疆（含箱码）,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:30
81,11000301,战马/310ML/24/罐装/2025/1元乐享/二段（无箱码）,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:29
82,11000300,战马/310ML/24/罐装/2025/1元乐享/二段（含箱码）,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:29
83,11000273,战马/310ML/24/罐装/2025/线上1元乐享（无箱码）,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:28
84,11000272,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:28
85,11000270,战马/310ML/24/罐装/2025/1元乐享-新疆（含箱码）,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:27
86,11000268,战马/310ML/24/罐装/2025/1元乐享（无箱码）,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:27
87,11000267,战马/310ML/24/罐装/2025/1元乐享（含箱码）,启用,,CAR,,,0.00,否,否,否,否,战马罐装2025促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,4,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:26
88,10001155,红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供二期,启用,,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:26
89,10001153,红牛维生素功能饮料/普通型/250ML/24/1元乐享-江西/2025,启用,,CAR,,,0.00,否,否,否,否,江西1元促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:25
90,10001146,红牛维生素功能饮料/普通型/250ML/24/1元乐享-云南贵州/2025,启用,0.00740,CAR,,,0.00,否,否,否,否,西南促销,,否,否,,,,,否,,,,0.007,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:25
91,10001126,红牛维生素功能饮料/普通型/250ML/24/新疆专供/2025,启用,,CAR,,,0.00,否,否,否,否,新疆专供,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:24
92,10001125,红牛维生素功能饮料/普通型/250ML/24/新疆箱内码专供/2025,启用,,CAR,,,0.00,否,否,否,否,西北促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:23
93,10001124,红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2025,启用,,CAR,,,0.00,否,否,否,否,西北1元促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:23
94,10001104,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享/2025,启用,,CAR,,,0.00,否,否,否,否,扫码促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:22
95,10001119,红牛维生素功能饮料/普通型/250ML/24/30周年/两元纸箱/台州专供一期,启用,,CAR,,,0.00,否,否,否,否,红牛促销型,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:27:22
96,10001118,红牛维生素功能饮料/普通型/250ML/24/30周年/24年广东箱内码三期,启用,,CAR,,,0.00,否,否,否,否,广东专属促销,,否,否,,,,,否,,,,1.000,红牛,红牛促销型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:10
97,10001117,红牛维生素功能饮料/牛磺酸强化型/250ml/24/30周年纪念装,停用,,CAR,,,0.00,否,否,否,否,强化型,,否,否,,,,,否,,,,1.000,红牛,红牛强化型,2,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:10
98,10001116,红牛维生素功能饮料/普通型/250ML/六罐装/30周年,启用,,CAR,,,0.00,否,否,否,否,六联包,,否,否,,,,,否,,,,0.250,红牛,红牛六联包,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:09
99,10001114,红牛维生素功能饮料/普通型/250ML/24/30周年纪念装,启用,,CAR,,,0.00,否,否,否,否,红牛普通型,,否,否,,,,,否,,,,1.000,红牛,红牛普通型,1,,,,,2025-01-01,9999-12-31,2026-05-15 10:25:09
