条码,物料名称,供应商,厂商,批次规则,备注
"20002271,20002272,20002273,20002274,20002315","空罐/普通型/250ML/31周年版/无顶盖,空罐/强化型/250ml/蓝色/31周年版/无底盖,空罐/普通型/250ML/2026广东红包促销/无顶盖,空罐/普通型/250ML/2026广东1元乐享促销/无顶盖,空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖",奥瑞金科技股份有限公司佛山分公司,佛山宝印,"字符串-123+数字长度-1+特殊月份日期-YYMDD+可变数字段长度-1+字符串--+数字长度-3,字符串-123+数字长度-3+字母段长度-1+数字长度-3+字符串--+数字长度-3",
"20002271,20002272,20002273,20002274,20002315","空罐/普通型/250ML/31周年版/无顶盖,空罐/强化型/250ml/蓝色/31周年版/无底盖,空罐/普通型/250ML/2026广东红包促销/无顶盖,空罐/普通型/250ML/2026广东1元乐享促销/无顶盖,空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖",奥瑞金科技股份有限公司佛山分公司,华瑞新包装,"字符串-123+数字长度-1+特殊月份日期-YYMDD+可变数字段长度-1+字符串--+数字长度-3,字符串-123+数字长度-3+字母段长度-1+数字长度-3+字符串--+数字长度-3",
"20000195,20000022,20002275,20002276,20002316","顶盖/206,底盖/200,顶盖/206/2026广东红包促销,顶盖/206/2026广东1元乐享促销,顶盖/206/2026扫码1元乐享-广西",奥瑞金科技股份有限公司佛山分公司,山东博瑞特,"字符串-0S1L+数字长度-8+字符串--+数字长度-3,字符串-0S+数字长度-1+字符串-L+数字长度-8+字符串--+数字长度-3,字符串-0D+数字长度-10+字符串--+数字长度-3",
20001058,速溶咖啡粉（≥10%）/战马/天草,南京诺朗科技有限公司,浙江天草生物科技股份有限公司,日期格式-YYYYMMDD+数字长度-1,
20001060,速溶咖啡粉（≥10%）/战马/重庆骄王,南京诺朗科技有限公司,重庆骄王天然产物股份有限公司,字符串-GC+日期格式-YYYYMMDD,
20001059,速溶咖啡粉（≥10%）/战马/天行健,南京诺朗科技有限公司,陕西天行健生物化工技术有限公司,日期格式-YYMMDD+数字长度-2,
20001956,速溶咖啡粉<杭州茗宝>,南京诺朗科技有限公司,杭州茗宝生物科技有限公司,数字长度-3+字符串-A+数字长度-3,
20000890,维生素C/战马,南京诺朗科技有限公司,江苏江山制药有限公司,字母段长度-1+日期格式-YYYYMMDD+数字长度-1,
20000892,D-核糖/战马,南京诺朗科技有限公司,江西诚志生物工程有限公司,数字长度-2+字符串--+数字长度-6+字符串--+数字长度-3+字符串-H,
20000010,RBMT1008,南京诺朗科技有限公司,广州龙沙制药有限公司,字符串-OP+数字长度-8,
"20000009,20000992","RBMT0906,RBMT0906/VB12/战马",南京诺朗科技有限公司,河北华荣制药有限公司,数字长度-9+字符串-MF,
20001056,RBMT1114,北京陆远国际供应链管理有限公司,上海宝开生物科技有限公司,"字符串-BKFP+数字长度-4,字符串-BKFP+字母段长度-1+可变数字段长度-3,字符串-BKF+字母段长度-1+可变数字段长度-4",
20001925,RBMT1118,华彬力美科技（湖北）有限公司,华彬力美科技（湖北）有限公司,字符串-LMJ+日期格式-MMDD+数字长度-1+字母段长度-1,
20001805,RBMT1117,北京陆远国际供应链管理有限公司,北京香山香精香料有限公司,字符串-HY+日期格式-MMDD+数字长度-1,
20001057,RBMT1115,北京陆远国际供应链管理有限公司,杭州安赛生物科技有限公司,日期格式-YYMMDD+数字长度-2,
20000537,RBMT1113,北京陆远国际供应链管理有限公司,艾地盟香精（平湖）有限公司,日期格式-MMDD+数字长度-1,
"20000864,20000865,20000991","RBMT1310,RBMT1209,诱惑红/战马",南京诺朗科技有限公司,天津多福源实业有限公司,日期格式-YYYYMMDD+数字长度-2,
20000007,RBMT0701,南京诺朗科技有限公司,武汉有机实业有限公司,数字长度-9+字母段长度-1,
20000008,RBMT0807,南京诺朗科技有限公司,江西天新药业股份有限公司,字符串-PH+数字长度-8,
"20000003,20000004","RBMT0312,RBMT0411",南京诺朗科技有限公司,日照金禾博源生化有限公司,"数字长度-9,数字长度-9",
20000002,RBMT0204,南京诺朗科技有限公司,津药药业股份有限公司,字符串-SLYS+数字长度-6,
20000006,RBMT0603,南京诺朗科技有限公司,潜江永安药业股份有限公司,字符串-SXP+可变数字段长度-8,
20000005,RBMT0502,石药创新制药股份有限公司,石药创新制药股份有限公司,可变数字段长度-10,
20000001,RBMT0105,南京诺朗科技有限公司,诸城市浩天药业有限公司,数字长度-9,
20000000,RBMT0000,广州华糖食品有限公司,广州华糖食品有限公司,日期格式-YYYYMMDD+字符串--+数字长度-1,
