操作日志 - 标准值配置数据采集任务
========================================

[2026-05-21] 操作类型：导航 | 目标：系统登录 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-RO水检测记录 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-接触面涂抹实验 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-化验员指膜微生物检测 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-灌装杀菌效果验证 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-压缩空气验证实验 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-工序控制检验 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-重量检测记录 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-罐后端尺寸自动检测仪 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-盖尺寸检测仪校准 | 结果：成功
[2026-05-21] 操作类型：导航 | 目标：计量标准值配置 | 结果：成功，URL: #/quality-manage/index2/qc-standard-value-configuration/measurement-config
[2026-05-21] 操作类型：数据提取 | 目标：计量标准值配置 | 结果：模块为空，无数据
[2026-05-21] 操作类型：截图 | 目标：计量标准值配置-概览 | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：原材料标准值配置.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：成品标准值配置.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：工序标准值配置.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：计量标准值配置.md | 结果：成功
[2026-05-21] 操作类型：检查 | 目标：所有表格数据量是否超过50条 | 结果：所有表格数据量均不超过50条，无需生成CSV文件
[2026-05-21] 操作类型：路由提取 | 目标：Pinia权限路由-质量管理子模块 | 结果：成功，识别19个基础信息管理子模块路由
[2026-05-21] 操作类型：数据提取 | 目标：UV判定表 | 结果：成功，10条数据
[2026-05-21] 操作类型：数据提取 | 目标：异常消息接收人 | 结果：成功，1条数据
[2026-05-21] 操作类型：数据提取 | 目标：食安问题类型 | 结果：成功，4条数据
[2026-05-21] 操作类型：数据提取 | 目标：外检机构管理 | 结果：成功，8条数据
[2026-05-21] 操作类型：数据提取 | 目标：计量类型管理 | 结果：成功，16个树节点，含2个有数据的节点（工艺计量器具1条、质量计量器具12条）
[2026-05-21] 操作类型：数据提取 | 目标：浮游菌测点 | 结果：成功，5条数据
[2026-05-21] 操作类型：数据提取 | 目标：接触面采样项目配置 | 结果：成功，17条数据（含分页）
[2026-05-21] 操作类型：数据提取 | 目标：留样地点管理 | 结果：成功，1条数据
[2026-05-21] 操作类型：数据提取 | 目标：异常原料对应物料编号 | 结果：成功，1条数据
[2026-05-21] 操作类型：数据提取 | 目标：压缩空气验证点位 | 结果：成功，3条数据
[2026-05-21] 操作类型：数据提取 | 目标：内容物检验标准配置 | 结果：成功，18条数据（含分页）
[2026-05-21] 操作类型：数据提取 | 目标：检测设备异常类型 | 结果：成功，1条数据
[2026-05-21] 操作类型：数据提取 | 目标：悬浮粒子测点 | 结果：成功，1条数据
[2026-05-21] 操作类型：数据提取 | 目标：水质检测点位（新） | 结果：成功，4条数据
[2026-05-21] 操作类型：数据提取 | 目标：不良类型管理 | 结果：成功，14个树节点，含9个有数据的节点（空罐31条、生产环节28条、纸皮15条、顶盖12条、热缩膜5条、咖啡因2条、胶带2条、牛磺酸1条、白砂糖1条、赖氨酸1条、罐身划伤1条）
[2026-05-21] 操作类型：数据提取 | 目标：检验依据 | 结果：成功，24条数据（含分页）
[2026-05-21] 操作类型：数据提取 | 目标：定量项目 | 结果：成功，13条数据（含分页）
[2026-05-21] 操作类型：数据提取 | 目标：仪器管理 | 结果：成功，32条数据（含分页）
[2026-05-21] 操作类型：数据提取 | 目标：电子天平电子秤目录 | 结果：成功，2条数据
[2026-05-21] 操作类型：文件生成 | 目标：UV判定表.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：异常消息接收人.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：食安问题类型.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：外检机构管理.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：计量类型管理.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：浮游菌测点.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：接触面采样项目配置.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：留样地点管理.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：异常原料对应物料编号.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：压缩空气验证点位.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：内容物检验标准配置.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：检测设备异常类型.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：悬浮粒子测点.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：水质检测点位（新）.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：不良类型管理.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：检验依据.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：定量项目.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：仪器管理.md | 结果：成功
[2026-05-21] 操作类型：文件生成 | 目标：电子天平电子秤目录.md | 结果：成功
