序号,操作,物料编码,商品名称,审批状态,启/禁状态,"单位重量
吨/箱(组、包)",物料单位,"单位货值
元/箱(组、包)","纸箱价格
元/张",外包装箱价格,是否为促销物料,是否为箱内码促销,是否为消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止
11,编辑 删除,666,11000407,战马/330ML/24/罐装/含气/菠萝西柚味/收拉环1元乐享/2026,0.00866,1.000,战马,3,罐装战马,罐装330ML战马,0,1,3,,,,0,0,CAR,0,100.80,2.17,2.17,0,0,0,1,355,240,150,0,胶带,1,0,12×2,除广东、福建、海南、西藏之外的中国大陆地区,24,0,18个月,0,,2026年4月新增物料,,,0,2026-01-01,2099-12-31,,,,1,89,89,2026-05-11 18:06:35,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 373, 'goods_id': 666, 'weight': '0.00866', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]","[{'id': 20, 'goods_id': 666, 'price': '100.80', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]","[{'id': 17, 'goods_id': 666, 'box_price': '2.17', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]"
12,编辑 删除,665,81000287,国产/芙丝气泡水330ML/12瓶装/蜜柚甜橘,0.00430,1.000,芙丝,2,国产芙丝330ML气泡水,,0,1,3,,,,0,0,CAR,0,39.60,1.38,1.38,0,0,0,0,240,180,154,0,热熔胶+缩膜,1,0,6×2,,12,0,12个月,0,,2025年4月新增物料,,,60,2026-01-01,2099-12-31,,,,1,89,1,2026-05-11 14:36:16,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 372, 'goods_id': 665, 'weight': '0.00430', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]","[{'id': 19, 'goods_id': 665, 'price': '39.60', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]","[{'id': 16, 'goods_id': 665, 'box_price': '1.38', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]"
13,编辑 删除,664,11000404,战马/310ML/24/罐装/2026/新包装线下1元乐享（二段）,0.00001,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,-664,1,CAR,8,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2026-04-07 13:34:34,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 371, 'goods_id': 664, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
14,编辑 删除,663,11000401,战马/330ML/24/罐装/含气/夏日柠檬味/扫码红包2026,0.00001,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,-663,0,CAR,8,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,1,2026-03-18 17:23:00,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 370, 'goods_id': 663, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
15,编辑 删除,662,11000400,战马/330ML/24/罐装/含气/春日白桃味/扫码红包2026,0.00001,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,-662,0,CAR,8,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,1,2026-03-18 17:22:38,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 369, 'goods_id': 662, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
16,编辑 删除,661,11000399,战马/330ML/24/罐装/含气/夏日浆果味/扫码红包2026,0.00001,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,-661,0,CAR,8,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,1,2026-03-18 17:22:15,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 368, 'goods_id': 661, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
17,编辑 删除,660,11000398,战马/330ML/24/罐装/含气/菠萝西柚味/扫码红包2026,0.00001,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,-660,0,CAR,8,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,1,2026-03-18 17:21:52,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 367, 'goods_id': 660, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
18,编辑 删除,659,11000396,战马/330ML/24/罐装/含气/蓝莓黑加仑味/扫码红包2026,0.00001,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,-659,0,CAR,8,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,1,2026-03-18 17:21:23,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 366, 'goods_id': 659, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
19,编辑 删除,658,11000391,战马/330ML/24/罐装/含气/青苹果葡萄味/扫码红包2026,0.00001,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,-658,0,CAR,8,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,1,2026-03-18 17:21:00,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 365, 'goods_id': 658, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
20,编辑 删除,657,81000285,国产/芙丝水330ML/24瓶装/京东专供,0.00001,1.000,国产芙丝,,国产芙丝330MLPET,,0,1,3,,,,-657,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,,2026-03-16 10:09:46,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 364, 'goods_id': 657, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
21,编辑 删除,656,81000197,国产/芙丝水375ML/20瓶/玻璃瓶/芙丝苏打水饮料（含气型）,0.00001,1.000,国产芙丝,,国产芙丝375ML玻璃瓶,,0,1,3,,,,-656,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,,2026-03-16 10:09:07,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 363, 'goods_id': 656, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
22,编辑 删除,655,11000384,战马/310ML/24/罐装/2026/新包装线下1元乐享,0.00001,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,-655,1,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2026-03-12 17:25:21,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 362, 'goods_id': 655, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
23,编辑 删除,654,11000376,战马/400ML/15/不含气/2026/1元乐享,0.00001,1.000,瓶装战马,,瓶装战马不含气,瓶装战马,0,1,3,,,,-654,0,CAR,3,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,,2026-03-09 17:18:42,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 361, 'goods_id': 654, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
24,编辑 删除,653,10001199,红牛维生素功能饮料/普通型/250ML/24/普通箱内码/2026,,1.000,红牛,0,红牛促销型,箱内码促销,0,1,3,,,,0,1,CAR,,,,0.00,0,0,0,0,0,0,0,0,,0,0,,,0,0,,0,,,,,0,2025-01-01,9999-12-31,,,,1,2,1,2026-03-04 17:17:47,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
25,编辑 删除,652,10001198,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-闽苏沪/2026,,1.000,红牛,,红牛促销型,红牛促销型,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-03-04 17:17:47,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
26,编辑 删除,651,10001204,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-云贵/2026,,1.000,红牛,,红牛促销型,红牛促销型,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2026-02-28 17:21:00,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
27,编辑 删除,650,10001203,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2026,,1.000,红牛,,红牛促销型,红牛促销型,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2026-02-28 17:21:00,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
28,编辑 删除,649,10001201,红牛维生素功能饮料/普通型/250ML/24/普通箱内码-新疆专供/2026,,1.000,红牛,,红牛促销型,箱内码促销,0,1,3,,,,0,1,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2026-02-28 17:21:00,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
29,编辑 删除,648,10001200,红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2026,,1.000,红牛,,红牛促销型,红牛促销型,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,2,2026-02-28 17:21:00,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
30,编辑 删除,647,11000379,战马/310ML/24/罐装/UTMBx联名装,0.00001,1.000,罐装战马,,&quot;战马罐装 普通&quot;,&quot;战马罐装 普通&quot;,0,1,3,,,,-647,0,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-02-26 17:33:23,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 360, 'goods_id': 647, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
31,编辑 删除,646,81000270,国产/芙丝水330ML/24瓶/牛皮纸环保装,0.00001,1.000,国产芙丝,,,,0,1,3,,,,-646,0,CAR,5,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,,2026-02-03 18:05:44,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 359, 'goods_id': 646, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
32,编辑 删除,645,11000356,战马/330ML/24/罐装/含气/菠萝西柚味/广东促销,0.00001,1.000,罐装战马,,,,0,1,3,,,,-645,0,CAR,8,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,89,1,2026-01-26 18:10:30,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 358, 'goods_id': 645, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
33,编辑 删除,644,11000372,战马/310ML/24/罐装/2026/线下1元乐享,,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-22 10:51:23,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
34,编辑 删除,643,11000371,战马/310ML/24/罐装/2026/线上1元乐享-新包装,,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,0,1,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-22 10:51:23,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
35,编辑 删除,642,11000370,战马/310ML/24/罐装/2026/扫码红包-新包装,0.00001,1.000,罐装战马,,战马罐装促销,战马罐装2026促销,0,1,3,,,,-642,1,CAR,4,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-21 17:53:24,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 357, 'goods_id': 642, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",[],[]
36,编辑 删除,641,81000290,国产/神农明珠天然泉水/350ML/24瓶/无外箱/红动中原牛气冲天联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
37,编辑 删除,640,81000258,国产/神农明珠天然泉水/350ML/24瓶/无外箱/北站苗乡,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
38,编辑 删除,639,81000225,国产/神农明珠天然泉水/350ML/24瓶/无外箱,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
39,编辑 删除,638,81000237,国产/神农明珠天然泉水/5L/4桶装,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
40,编辑 删除,637,81000227,国产/神农明珠天然泉水/5L/4桶装/无外箱,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
41,编辑 删除,636,81000316,国产/神农明珠天然泉水/500ML/24瓶/无外箱/大角鹿联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
42,编辑 删除,635,81000313,国产/神农明珠天然泉水/500ML/24瓶/无外箱/交通银行联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
43,编辑 删除,634,81000314,国产/神农明珠天然泉水/500ML/24瓶/无外箱/初雄联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
44,编辑 删除,633,81000298,国产/神农明珠天然泉水/500ML/24瓶/无外箱/华彬航空联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
45,编辑 删除,632,81000291,国产/神农明珠天然泉水/500ML/24瓶/无外箱/德高防水联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
46,编辑 删除,631,81000289,国产/神农明珠天然泉水/500ML/24瓶/无外箱/名仕台球联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
47,编辑 删除,630,81000283,国产/神农明珠天然泉水/500ML/24瓶/无外箱/黄石联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
48,编辑 删除,629,81000240,国产/神农明珠天然泉水/500ml/24瓶/无外箱,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,7,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
49,编辑 删除,628,81000310,国产/神农明珠天然泉水/500ML/24瓶/交通银行联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
50,编辑 删除,627,81000304,国产/神农明珠天然泉水/500ML/24瓶/德高防水联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
51,编辑 删除,626,81000294,国产/神农明珠天然泉水/500ML/24瓶/华彬航空联标,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
52,编辑 删除,625,81000224,国产/神农明珠天然泉水/500ML/24瓶,,1.000,神农明珠,,神农明珠,神农明珠,0,1,3,,,,0,0,CAR,7,,,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,2,1,2026-01-09 10:58:49,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
53,编辑 删除,624,10001193,红牛维生素功能饮料/普通型/250ML/24/新疆专供/2026,0.00740,1.000,红牛,,红牛普通型,新疆专供,0,1,3,,,,0,0,CAR,1,112.80,2.15,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,75,1,2025-12-31 17:12:11,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 356, 'goods_id': 624, 'weight': '0.00740', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 18, 'goods_id': 624, 'price': '112.80', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 15, 'goods_id': 624, 'box_price': '2.15', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
54,编辑 删除,623,10001191,红牛维生素功能饮料/普通型/250ML/六罐装/31周年,0.00185,0.250,红牛,,红牛六联包,六联包,0,1,3,,,,0,0,CAR,1,28.20,1.66,,,,,,,,,,,0,0,,,,0,,,,,,,,2025-01-01,9999-12-31,,,,1,75,89,2025-12-31 17:12:11,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 355, 'goods_id': 623, 'weight': '0.00185', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 17, 'goods_id': 623, 'price': '28.20', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]","[{'id': 14, 'goods_id': 623, 'box_price': '1.66', 'from_date': '2026-01-01', 'expiry_date': '9999-12-31', 'status': 2}]"
