序号,操作,组织名称,组织代码,组织类型,备注
38,编辑 删除,保龄宝生物股份有限公司,11000126,供应商,
39,编辑 删除,奥瑞金科技股份有限公司佛山分公司,11000116,供应商,
40,编辑 删除,新乡市博太彩印实业有限公司,11000091,供应商,
41,编辑 删除,湖北奥瑞金制罐有限公司,11000046,供应商,
42,编辑 删除,新乡市博元彩印包装业有限公司,11000027,供应商,
43,编辑 删除,广东凯林科技股份有限公司,11000025,供应商,
44,编辑 删除,南京诺朗科技有限公司,11000010,供应商,
45,编辑 删除,广州华糖食品有限公司,11000009,供应商,
46,编辑 删除,奥瑞金科技股份有限公司,11000000,供应商,
47,编辑 删除,集团生产部,9002,集团总部,
48,编辑 删除,集团储运部,9001,集团总部,
49,编辑 删除,生产物流中心,9901,集团总部,
50,编辑 删除,贵州分公司销售组织,8845,华彬营业单位,
1,编辑 删除,青岛分公司销售组织,8844,华彬营业单位,
2,编辑 删除,川东代表处销售组织,8843,华彬营业单位,
3,编辑 删除,汕头分公司销售组织,8842,华彬营业单位,
4,编辑 删除,金华分公司销售组织,8841,华彬营业单位,
5,编辑 删除,温州分公司销售组织,8840,华彬营业单位,
6,编辑 删除,豫南代表处销售组织,8839,华彬营业单位,
7,编辑 删除,湛江分公司销售组织,8838,华彬营业单位,
8,编辑 删除,南疆分公司销售组织,8837,华彬营业单位,
9,编辑 删除,东莞分公司销售组织,8836,华彬营业单位,
10,编辑 删除,新疆分公司销售组织,8835,华彬营业单位,
11,编辑 删除,宁夏分公司销售组织,8834,华彬营业单位,
12,编辑 删除,青海分公司销售组织,8833,华彬营业单位,
13,编辑 删除,西藏销售组织,8832,华彬营业单位,
14,编辑 删除,甘肃分公司销售组织,8831,华彬营业单位,
15,编辑 删除,陕西分公司销售组织,8830,华彬营业单位,
16,编辑 删除,重庆分公司销售组织,8829,华彬营业单位,
17,编辑 删除,贵州分公司销售组织,8828,华彬营业单位,
18,编辑 删除,云南分公司销售组织,8827,华彬营业单位,
19,编辑 删除,成都分公司销售组织,8826,华彬营业单位,
20,编辑 删除,海南分公司销售组织,8825,华彬营业单位,
21,编辑 删除,粤东分公司销售组织,8824,华彬营业单位,
22,编辑 删除,湖南分公司销售组织,8823,华彬营业单位,
23,编辑 删除,深圳分公司销售组织,8822,华彬营业单位,
24,编辑 删除,南宁分公司销售组织,8821,华彬营业单位,
25,编辑 删除,广州分公司销售组织,8820,华彬营业单位,
26,编辑 删除,上海分公司销售组织,8819,华彬营业单位,
27,编辑 删除,杭州分公司销售组织,8818,华彬营业单位,
28,编辑 删除,福建分公司销售组织,8817,华彬营业单位,
29,编辑 删除,安徽分公司销售组织,8816,华彬营业单位,
30,编辑 删除,南京分公司销售组织,8815,华彬营业单位,
31,编辑 删除,山东青岛代表处销售组织,8814,华彬营业单位,
32,编辑 删除,苏北分公司销售组织,8813,华彬营业单位,
33,编辑 删除,山东分公司销售组织,8812,华彬营业单位,
34,编辑 删除,江西分公司销售组织,8811,华彬营业单位,
35,编辑 删除,湖北分公司销售组织,8810,华彬营业单位,
36,编辑 删除,河南分公司销售组织,8809,华彬营业单位,
37,编辑 删除,哈尔滨分公司销售组织,8808,华彬营业单位,
38,编辑 删除,吉林分公司销售组织,8807,华彬营业单位,
39,编辑 删除,辽宁分公司销售组织,8806,华彬营业单位,
40,编辑 删除,内蒙分公司销售组织,8805,华彬营业单位,
41,编辑 删除,山西分公司销售组织,8804,华彬营业单位,
42,编辑 删除,天津分公司销售组织,8803,华彬营业单位,
43,编辑 删除,河北分公司销售组织,8802,华彬营业单位,
44,编辑 删除,北京分公司销售组织,8801,华彬营业单位,
45,编辑 删除,华彬力美科技（湖北）有限公司,7070,华彬生产基地,
46,编辑 删除,华彬（广东）企业管理有限公司,6889,华彬销售公司,
47,编辑 删除,华彬饮料销售有限公司,6888,华彬销售公司,
48,编辑 删除,华彬快速消费品销售（湖北）有限公司,6886,华彬销售公司,
49,编辑 删除,华彬快速消费品销售（贵州）有限公司,6885,华彬销售公司,
50,编辑 删除,华彬快速消费品销售（福建）有限公司,6884,华彬销售公司,
1,编辑 删除,华彬快速消费品销售（江苏）有限公司,6883,华彬销售公司,
2,编辑 删除,珠海红牛饮料销售有限公司,8889,华彬销售公司,
3,编辑 删除,北京红牛饮料销售有限公司,8888,华彬销售公司,
4,编辑 删除,北京朗臣饮料有限公司,8884,华彬生产基地,
5,编辑 删除,红牛维他命饮料有限公司,8880,华彬生产基地,
6,编辑 删除,战马（无锡）饮料有限公司,6867,华彬生产基地,
7,编辑 删除,芙丝（中国）饮品销售有限公司,6864,华彬销售公司,
8,编辑 删除,战马（北京）饮料有限公司,6863,华彬销售公司,
9,编辑 删除,芙丝（湖北）饮品有限公司,6862,华彬生产基地,
10,编辑 删除,百仕欣饮料（北京）有限公司,6860,华彬生产基地,
11,编辑 删除,红牛维他命饮料（江苏）有限公司,8886,华彬生产基地,
12,编辑 删除,广东红牛维他命饮料有限公司,8885,华彬生产基地,
13,编辑 删除,红牛维他命饮料（湖北）有限公司,8883,华彬生产基地,
14,编辑 删除,华彬快速消费品饮料（福建）有限公司,6866,华彬生产基地,
15,编辑 删除,华彬快速消费品饮料（贵州）有限公司,6865,华彬生产基地,
