,序号,操作,主键ID,检测项目,适用类型,审批状态,启/禁状态,显示顺序,备注信息
,38,详情 反审 禁用,PDBW0103,杀菌温度,全部,已完成,启用,0,--
,39,详情 反审 禁用,PDBW0102,产品灌装温度,全部,已完成,启用,0,--
,40,详情 反审 禁用,PDBW0101,注氮量,全部,已完成,启用,0,--
,41,详情 反审 禁用,PDBW0100,设备有效性,全部,已完成,启用,0,--
,42,详情 反审 禁用,PDBW0099,数量,全部,已完成,启用,0,--
,43,详情 反审 禁用,PDBW0098,包装情况,全部,已完成,启用,0,--
,44,详情 反审 禁用,PDBW0097,版本,全部,已完成,启用,0,--
,45,详情 反审 禁用,PDBW0096,UV,全部,已完成,启用,0,--
,46,详情 反审 禁用,PDBW0095,杂质,全部,已完成,启用,0,--
,47,详情 反审 禁用,PDBW0094,水温,全部,已完成,启用,0,--
,48,详情 反审 禁用,PDBW0093,温度,全部,已完成,启用,0,--
,49,详情 反审 禁用,PDBW0092,剩余内容物重量,全部,已完成,启用,0,--
,50,详情 反审 禁用,PDBW0091,配方内容物重量,全部,已完成,启用,0,--
,1,详情 反审 禁用,PDBW0090,余氯,全部,已完成,启用,0,--
,2,详情 反审 禁用,PDBW0089,电导率,全部,已完成,启用,0,--
,3,详情 反审 禁用,PDBW0088,型式检验,全部,已完成,启用,0,--
,4,详情 反审 禁用,PDBW0087,浑浊度,全部,已完成,启用,0,--
,5,详情 反审 禁用,PDBW0086,pH,全部,已完成,启用,0,--
,6,详情 反审 禁用,PDBW0085,酵母菌,全部,已完成,启用,0,--
,7,详情 反审 禁用,PDBW0084,霉菌,全部,已完成,启用,0,--
,8,详情 反审 禁用,PDBW0083,大肠菌群,全部,已完成,启用,0,--
,9,详情 反审 禁用,PDBW0082,含量、干燥减重,全部,已完成,启用,0,--
,10,详情 反审 禁用,PDBW0081,罐底墨码附着力,全部,已完成,启用,0,--
,11,详情 反审 禁用,PDBW0080,翻边尺寸,全部,已完成,启用,0,--
,12,详情 反审 禁用,PDBW0079,罐体高度,全部,已完成,启用,0,--
,13,详情 反审 禁用,PDBW0078,皱纹度,全部,已完成,启用,0,--
,14,详情 反审 禁用,PDBW0077,迭接率,全部,已完成,启用,0,--
,15,详情 反审 禁用,PDBW0076,迭接长度,全部,已完成,启用,0,--
,16,详情 反审 禁用,PDBW0075,盖钩、罐钩间隙,全部,已完成,启用,0,--
,17,详情 反审 禁用,PDBW0074,身钩、盖钩长度,全部,已完成,启用,0,--
,18,详情 反审 禁用,PDBW0073,卷边宽度,全部,已完成,启用,0,--
,19,详情 反审 禁用,PDBW0072,卷边厚度,全部,已完成,启用,0,--
,20,详情 反审 禁用,PDBW0071,标签标识,全部,已完成,启用,0,--
,21,详情 反审 禁用,PDBW0070,焊缝外补涂实验,全部,已完成,启用,0,--
,22,详情 反审 禁用,PDBW0069,砷,全部,已完成,启用,0,--
,23,详情 反审 禁用,PDBW0068,铅,全部,已完成,启用,0,--
,24,详情 反审 禁用,PDBW0067,可溶性固形物,全部,已完成,启用,0,--
,25,详情 反审 禁用,PDBW0066,相对密度,全部,已完成,启用,0,--
,26,详情 反审 禁用,PDBW0065,菌落总数,全部,已完成,启用,0,--
,27,详情 反审 禁用,PDBW0064,煮沸实验,全部,已完成,启用,0,--
,28,详情 反审 禁用,PDBW0063,定量检验,全部,已完成,启用,0,--
,29,详情 反审 禁用,PDBW0062,微生物检验,全部,已完成,启用,0,--
,30,详情 反审 禁用,PDBW0061,卷封质量,全部,已完成,启用,0,--
,31,详情 反审 禁用,PDBW0060,理化检验,全部,已完成,启用,0,--
,32,详情 反审 禁用,PDBW0059,感官检验,全部,已完成,启用,0,--
,33,详情 反审 禁用,PDBW0058,开箱检查及外观,全部,已完成,启用,0,--
,34,详情 反审 禁用,PDBW0057,外箱打码,全部,已完成,启用,0,--
,35,详情 反审 禁用,PDBW0056,粘合质量,全部,已完成,启用,0,--
,36,详情 反审 禁用,PDBW0055,质量,全部,已完成,启用,0,--
,37,详情 反审 禁用,PDBW0054,外箱码,全部,已完成,启用,0,--
,38,详情 反审 禁用,PDBW0053,热缩质量,全部,已完成,启用,0,--
,39,详情 反审 禁用,PDBW0052,热缩包装效果,全部,已完成,启用,0,--
,40,详情 反审 禁用,PDBW0051,墨码,全部,已完成,启用,0,--
,41,详情 反审 禁用,PDBW0050,顶盖防伪,全部,已完成,启用,0,--
,42,详情 反审 禁用,PDBW0049,二维码打检,全部,已完成,启用,0,--
,43,详情 反审 禁用,PDBW0048,参数,全部,已完成,启用,0,--
,44,详情 反审 禁用,PDBW0047,打码质量,全部,已完成,启用,0,--
,45,详情 反审 禁用,PDBW0046,罐体外观,全部,已完成,启用,0,--
,46,详情 反审 禁用,PDBW0045,纯净度,全部,已完成,启用,0,--
,47,详情 反审 禁用,PDBW0044,卷封外观质量,全部,已完成,启用,0,--
,48,详情 反审 禁用,PDBW0043,外观,全部,已完成,启用,0,--
,49,详情 反审 禁用,PDBW0042,内容物质量,全部,已完成,启用,0,--
,50,详情 反审 禁用,PDBW0041,感官,全部,已完成,启用,0,--
,1,详情 反审 禁用,PDBW0040,彩膜油墨附着力,全部,已完成,启用,0,--
,2,详情 反审 禁用,PDBW0039,彩膜条形码,全部,已完成,启用,0,--
,3,详情 反审 禁用,PDBW0038,彩膜外观要求,全部,已完成,启用,0,--
,4,详情 反审 禁用,PDBW0037,外观质量,全部,已完成,启用,0,--
,5,详情 反审 禁用,PDBW0036,热缩膜筒内径,全部,已完成,启用,0,--
,6,详情 反审 禁用,PDBW0035,热缩膜宽度,全部,已完成,启用,0,--
,7,详情 反审 禁用,PDBW0034,热缩膜厚度,全部,已完成,启用,0,--
,8,详情 反审 禁用,PDBW0033,净重,全部,已完成,启用,0,--
,9,详情 反审 禁用,PDBW0032,箱内二维码外观与扫读,全部,已完成,启用,0,--
,10,详情 反审 禁用,PDBW0031,箱内二维码宽度,全部,已完成,启用,0,--
,11,详情 反审 禁用,PDBW0030,箱内二维码长度,全部,已完成,启用,0,--
,12,详情 反审 禁用,PDBW0029,箱内二维码位置,全部,已完成,启用,0,--
,13,详情 反审 禁用,PDBW0028,外箱二维码,全部,已完成,启用,0,--
,14,详情 反审 禁用,PDBW0027,激光码喷码效果,全部,已完成,启用,0,--
,15,详情 反审 禁用,PDBW0026,外观(色泽、标记、内容、条形码),全部,已完成,启用,0,--
,16,详情 反审 禁用,PDBW0025,位置⑩长度,全部,已完成,启用,0,--
,17,详情 反审 禁用,PDBW0024,位置⑨长度,全部,已完成,启用,0,--
,18,详情 反审 禁用,PDBW0023,位置⑧长度,全部,已完成,启用,0,--
,19,详情 反审 禁用,PDBW0022,位置⑦长度,全部,已完成,启用,0,--
,20,详情 反审 禁用,PDBW0021,位置⑥长度,全部,已完成,启用,0,--
,21,详情 反审 禁用,PDBW0020,位置⑤长度,全部,已完成,启用,0,--
,22,详情 反审 禁用,PDBW0019,位置④长度,全部,已完成,启用,0,--
,23,详情 反审 禁用,PDBW0018,位置③长度,全部,已完成,启用,0,--
,24,详情 反审 禁用,PDBW0017,位置②长度,全部,已完成,启用,0,--
,25,详情 反审 禁用,PDBW0016,位置①长度,全部,已完成,启用,0,--
,26,详情 反审 禁用,PDBW0015,重量,全部,已完成,启用,0,--
,27,详情 反审 禁用,PDBW0014,拉环二维码,全部,已完成,启用,0,--
,28,详情 反审 禁用,PDBW0013,注胶附着力（仅顶盖）,全部,已完成,启用,0,--
,29,详情 反审 禁用,PDBW0012,外观印刷（仅顶盖）,全部,已完成,启用,0,--
,30,详情 反审 禁用,PDBW0011,底盖蓝点外观,全部,已完成,启用,0,--
,31,详情 反审 禁用,PDBW0010,底盖蓝点偏移量,全部,已完成,启用,0,--
,32,详情 反审 禁用,PDBW0009,底盖蓝点直径,全部,已完成,启用,0,--
,33,详情 反审 禁用,PDBW0008,拉环羽化,全部,已完成,启用,0,--
,34,详情 反审 禁用,PDBW0007,缺陷电流,全部,已完成,启用,0,--
,35,详情 反审 禁用,PDBW0006,全开力,全部,已完成,启用,0,--
,36,详情 反审 禁用,PDBW0005,启破力,全部,已完成,启用,0,--
,37,详情 反审 禁用,PDBW0004,干膜重量,全部,已完成,启用,0,--
,38,详情 反审 禁用,PDBW0003,钩边高度,全部,已完成,启用,0,--
,39,详情 反审 禁用,PDBW0002,埋头度,全部,已完成,启用,0,--
,40,详情 反审 禁用,PDBW0001,外径尺寸,全部,已完成,启用,0,--
